league,season,team,player,nationality,position,age,birth_year,90s,goals,shots,shots_on_target,shot_accuracy,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_kicks_made,penalty_kicks_attempted,expected_goals,expected_goals_non_penalty,expected_goals_per_shot_non_penalty,goals_minus_expected,non_penalty_goals_minus_expected
ENG-Premier League,2425,Aston Villa,Emi Buendía,,,27.0,1996.0,1.1,0,5,0,0.0,4.59,0.0,0.0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,,,31.0,1992.0,35.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,,,26.0,1997.0,32.6,2,11,5,45.5,0.34,0.15,0.18,0.4,8.8,0,0,0,1.3,1.3,0.12,0.7,0.7
ENG-Premier League,2425,Aston Villa,Ian Maatsen,,,22.0,2002.0,12.7,1,19,5,26.3,1.5,0.4,0.05,0.2,22.1,0,0,0,0.9,0.9,0.05,0.1,0.1
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,,,23.0,2001.0,18.0,1,19,4,21.1,1.05,0.22,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,,,22.0,2002.0,3.7,0,7,0,0.0,1.9,0.0,0.0,,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
ENG-Premier League,2425,Aston Villa,John McGinn,,,29.0,1994.0,24.7,1,31,5,16.1,1.26,0.2,0.03,0.2,17.0,1,0,0,3.1,2.8,0.09,-2.1,-1.8
ENG-Premier League,2425,Aston Villa,Jáder Durán,,,20.0,2003.0,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,,,18.0,2005.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,,,20.0,2004.0,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2425,Aston Villa,Leon Bailey,,,26.0,1997.0,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7
ENG-Premier League,2425,Aston Villa,Lucas Digne,,,31.0,1993.0,26.1,0,13,3,23.1,0.5,0.11,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8
ENG-Premier League,2425,Aston Villa,Marco Asensio,,,28.0,1996.0,8.3,3,22,9,40.9,2.66,1.09,0.14,0.33,19.6,1,0,2,4.4,2.9,0.13,-1.4,0.1
ENG-Premier League,2425,Aston Villa,Marcus Rashford,,,26.0,1997.0,4.9,2,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2,1,1,3.1,2.3,0.13,-1.1,-1.3
ENG-Premier League,2425,Aston Villa,Matty Cash,,,26.0,1997.0,23.0,1,13,6,46.2,0.57,0.26,0.08,0.17,18.8,0,0,0,0.5,0.5,0.04,0.5,0.5
ENG-Premier League,2425,Aston Villa,Morgan Rogers,,,22.0,2002.0,34.6,8,55,20,36.4,1.59,0.58,0.15,0.4,15.9,0,0,0,6.6,6.6,0.12,1.4,1.4
ENG-Premier League,2425,Aston Villa,Ollie Watkins,,,28.0,1995.0,28.9,16,82,36,43.9,2.84,1.25,0.17,0.39,12.1,0,2,2,15.3,13.8,0.17,0.7,0.2
ENG-Premier League,2425,Aston Villa,Pau Torres,,,27.0,1997.0,22.4,0,8,2,25.0,0.36,0.09,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
ENG-Premier League,2425,Aston Villa,Robin Olsen,,,34.0,1990.0,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ross Barkley,,,30.0,1993.0,6.5,3,16,5,31.3,2.48,0.77,0.19,0.6,14.2,0,0,0,1.8,1.8,0.11,1.2,1.2
ENG-Premier League,2425,Aston Villa,Tyrone Mings,,,31.0,1993.0,12.4,0,9,1,11.1,0.72,0.08,0.0,0.0,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
ENG-Premier League,2425,Aston Villa,Youri Tielemans,,,27.0,1997.0,33.6,3,40,12,30.0,1.19,0.36,0.08,0.25,20.1,0,0,1,3.3,2.5,0.06,-0.3,0.5
ENG-Premier League,2425,Bournemouth,Adam Smith,,,33.0,1991.0,17.7,0,3,0,0.0,0.17,0.0,0.0,,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7
ENG-Premier League,2425,Bournemouth,Alex Scott,,,20.0,2003.0,8.4,0,15,6,40.0,1.79,0.72,0.0,0.0,21.1,1,0,0,0.7,0.7,0.05,-0.7,-0.7
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,,,24.0,2000.0,35.6,11,125,40,32.0,3.51,1.12,0.09,0.28,17.0,0,0,0,10.0,10.0,0.08,1.0,1.0
ENG-Premier League,2425,Bournemouth,Ben Winterburn,,,19.0,2004.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,,,22.0,2002.0,22.3,7,62,20,32.3,2.78,0.9,0.11,0.35,13.5,1,0,0,8.4,8.4,0.14,-1.4,-1.4
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,,,20.0,2003.0,1.3,1,5,2,40.0,3.78,1.51,0.2,0.5,10.6,0,0,0,1.0,1.0,0.2,0.0,0.0
ENG-Premier League,2425,Bournemouth,David Brooks,,,27.0,1997.0,10.7,2,25,12,48.0,2.34,1.13,0.08,0.17,16.3,0,0,0,2.5,2.5,0.1,-0.5,-0.5
ENG-Premier League,2425,Bournemouth,Dean Huijsen,,,19.0,2005.0,27.0,3,18,3,16.7,0.67,0.11,0.17,1.0,11.9,0,0,0,1.9,1.9,0.1,1.1,1.1
ENG-Premier League,2425,Bournemouth,Enes Ünal,,,27.0,1997.0,3.8,2,20,7,35.0,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7
ENG-Premier League,2425,Bournemouth,Evanilson,,,24.0,1999.0,25.8,10,72,31,43.1,2.79,1.2,0.14,0.32,12.8,0,0,1,12.5,11.7,0.16,-2.5,-1.7
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,,,21.0,2002.0,34.5,0,12,1,8.3,0.35,0.03,0.0,0.0,9.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3
ENG-Premier League,2425,Bournemouth,James Hill,,,22.0,2002.0,5.0,0,6,0,0.0,1.21,0.0,0.0,,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2425,Bournemouth,Julian Araujo,,,22.0,2001.0,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Julio Soler,,,19.0,2005.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,,,25.0,1999.0,26.0,12,57,23,40.4,2.19,0.88,0.11,0.26,20.0,0,6,6,10.3,5.6,0.1,1.7,0.4
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,,,29.0,1994.0,31.0,0,1,0,0.0,0.03,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2425,Bournemouth,Lewis Cook,,,27.0,1997.0,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,0.1,0.1
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,,,25.0,1999.0,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2
ENG-Premier League,2425,Bournemouth,Marcos Senesi,,,27.0,1997.0,12.3,0,3,0,0.0,0.24,0.0,0.0,,7.9,0,0,0,0.8,0.8,0.28,-0.8,-0.8
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,,,25.0,1999.0,21.5,3,57,17,29.8,2.65,0.79,0.05,0.18,21.1,4,0,0,5.5,5.5,0.1,-2.5,-2.5
ENG-Premier League,2425,Bournemouth,Mark Travers,,,25.0,1999.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
