league,season,team,player,nationality,position,age,birth_year,90s,goals,shots,shots_on_target,shot_accuracy,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_kicks_made,penalty_kicks_attempted,expected_goals,expected_goals_non_penalty,expected_goals_per_shot_non_penalty,goals_minus_expected,non_penalty_goals_minus_expected
ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,,,27.0,1996.0,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,13.6,0,0,0,6.7,6.6,0.11,0.3,0.4
ESP-La Liga,2425,Athletic Club,Iñaki Williams,,,30.0,1994.0,29.5,6,63,24,38.1,2.14,0.81,0.1,0.25,16.4,0,0,0,7.6,7.6,0.12,-1.6,-1.6
ESP-La Liga,2425,Athletic Club,Iñigo Lekue,,,31.0,1993.0,8.6,0,2,0,0.0,0.23,0.0,0.0,,18.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,,,30.0,1993.0,16.4,0,11,1,9.1,0.67,0.06,0.0,0.0,24.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5
ESP-La Liga,2425,Athletic Club,Javi Martón,,,25.0,1999.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,,,23.0,2000.0,13.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,,,23.0,2001.0,8.4,1,19,7,36.8,2.27,0.84,0.05,0.14,15.1,0,0,0,3.5,3.5,0.18,-2.5,-2.5
ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,,,20.0,2003.0,24.9,2,21,8,38.1,0.84,0.32,0.1,0.25,22.1,0,0,0,1.1,1.1,0.05,0.9,0.9
ESP-La Liga,2425,Athletic Club,Mikel Vesga,,,31.0,1993.0,11.0,0,5,2,40.0,0.46,0.18,0.0,0.0,21.6,0,0,1,1.2,0.4,0.08,-1.2,-0.4
ESP-La Liga,2425,Athletic Club,Nico Williams,,,22.0,2002.0,22.2,5,54,19,35.2,2.43,0.86,0.09,0.26,17.6,1,0,0,4.2,4.2,0.08,0.8,0.8
ESP-La Liga,2425,Athletic Club,Nicolás Serrano,,,21.0,2003.0,1.2,0,5,1,20.0,4.02,0.8,0.0,0.0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ESP-La Liga,2425,Athletic Club,Oihan Sancet,,,24.0,2000.0,18.0,15,47,17,36.2,2.61,0.94,0.26,0.71,16.7,1,3,3,9.7,7.3,0.16,5.3,4.7
ESP-La Liga,2425,Athletic Club,Peio Canales,,,19.0,2005.0,2.9,0,3,0,0.0,1.04,0.0,0.0,,21.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ESP-La Liga,2425,Athletic Club,Unai Gómez,,,21.0,2003.0,14.3,1,19,4,21.1,1.33,0.28,0.05,0.25,17.5,1,0,0,1.9,1.9,0.1,-0.9,-0.9
ESP-La Liga,2425,Athletic Club,Unai Núñez,,,27.0,1997.0,7.2,0,1,0,0.0,0.14,0.0,0.0,,3.3,0,0,0,0.2,0.2,0.23,-0.2,-0.2
ESP-La Liga,2425,Athletic Club,Unai Simón,,,27.0,1997.0,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Athletic Club,Yeray Álvarez,,,29.0,1995.0,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,15.5,0,0,0,0.5,0.5,0.05,0.5,0.5
ESP-La Liga,2425,Athletic Club,Yuri Berchiche,,,34.0,1990.0,22.7,0,16,4,25.0,0.7,0.18,0.0,0.0,25.2,2,0,0,0.6,0.6,0.04,-0.6,-0.6
ESP-La Liga,2425,Athletic Club,Álex Berenguer,,,29.0,1995.0,26.0,6,51,18,35.3,1.96,0.69,0.12,0.33,18.4,3,0,1,6.8,6.0,0.12,-0.8,0.0
ESP-La Liga,2425,Athletic Club,Álvaro djaló,,,24.0,1999.0,7.3,1,15,3,20.0,2.05,0.41,0.07,0.33,18.5,0,0,0,0.8,0.8,0.06,0.2,0.2
ESP-La Liga,2425,Athletic Club,Óscar de Marcos,,,35.0,1989.0,17.4,0,8,2,25.0,0.46,0.12,0.0,0.0,19.7,0,0,0,1.0,1.0,0.12,-1.0,-1.0
ESP-La Liga,2425,Atlético Madrid,Adrian Niño,,,20.0,2004.0,0.1,0,2,0,0.0,15.0,0.0,0.0,,13.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2
ESP-La Liga,2425,Atlético Madrid,Alexander Sørloth,,,28.0,1995.0,17.4,20,78,40,51.3,4.48,2.3,0.24,0.48,12.0,0,1,1,16.8,16.0,0.21,3.2,3.0
ESP-La Liga,2425,Atlético Madrid,Antoine Griezmann,,,33.0,1991.0,27.4,8,48,17,35.4,1.75,0.62,0.15,0.41,18.5,5,1,2,7.4,5.9,0.13,0.6,1.1
ESP-La Liga,2425,Atlético Madrid,Axel Witsel,,,35.0,1989.0,9.5,0,1,0,0.0,0.11,0.0,0.0,,10.1,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2425,Atlético Madrid,Clément Lenglet,,,29.0,1995.0,21.9,2,10,4,40.0,0.46,0.18,0.2,0.5,14.9,1,0,0,2.4,2.4,0.24,-0.4,-0.4
ESP-La Liga,2425,Atlético Madrid,Conor Gallagher,,,24.0,2000.0,18.1,3,22,4,18.2,1.21,0.22,0.14,0.75,19.7,0,0,0,2.8,2.8,0.13,0.2,0.2
ESP-La Liga,2425,Atlético Madrid,César Azpilicueta,,,34.0,1989.0,9.7,1,5,2,40.0,0.51,0.21,0.2,0.5,17.8,0,0,0,0.2,0.2,0.05,0.8,0.8
ESP-La Liga,2425,Atlético Madrid,Giuliano Simeone,,,21.0,2002.0,21.4,2,22,7,31.8,1.03,0.33,0.09,0.29,14.5,0,0,0,2.2,2.2,0.1,-0.2,-0.2
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,,,31.0,1993.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Atlético Madrid,Javi Galán,,,29.0,1994.0,19.8,0,9,0,0.0,0.45,0.0,0.0,,24.3,0,0,0,0.2,0.2,0.02,-0.2,-0.2
ESP-La Liga,2425,Atlético Madrid,José María Giménez,,,29.0,1995.0,22.2,0,5,1,20.0,0.23,0.05,0.0,0.0,8.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4
ESP-La Liga,2425,Atlético Madrid,Juan Musso,,,30.0,1994.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Atlético Madrid,Julián Álvarez,,,24.0,2000.0,27.9,17,70,36,51.4,2.51,1.29,0.19,0.36,18.3,5,4,4,14.1,11.0,0.16,2.9,2.0
ESP-La Liga,2425,Atlético Madrid,Koke,,,32.0,1992.0,21.4,1,11,4,36.4,0.51,0.19,0.09,0.25,22.6,0,0,0,1.1,1.1,0.1,-0.1,-0.1
ESP-La Liga,2425,Atlético Madrid,Marcos Llorente,,,29.0,1995.0,27.9,2,16,5,31.3,0.57,0.18,0.13,0.4,19.2,0,0,0,0.8,0.8,0.05,1.2,1.2
ESP-La Liga,2425,Atlético Madrid,Nahuel Molina,,,26.0,1998.0,17.7,0,9,1,11.1,0.51,0.06,0.0,0.0,19.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8
ESP-La Liga,2425,Atlético Madrid,Pablo Barrios,,,21.0,2003.0,25.9,1,29,8,27.6,1.12,0.31,0.03,0.13,23.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3
ESP-La Liga,2425,Atlético Madrid,Reinildo Mandava,,,30.0,1994.0,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ESP-La Liga,2425,Atlético Madrid,Robin Le Normand,,,27.0,1996.0,23.9,1,11,3,27.3,0.46,0.13,0.09,0.33,8.6,0,0,0,1.5,1.5,0.13,-0.5,-0.5
ESP-La Liga,2425,Atlético Madrid,Rodrigo De Paul,,,30.0,1994.0,23.4,3,19,4,21.1,0.81,0.17,0.16,0.75,24.3,0,0,0,1.3,1.3,0.07,1.7,1.7
ESP-La Liga,2425,Atlético Madrid,Rodrigo Riquelme,,,24.0,2000.0,5.7,0,14,4,28.6,2.44,0.7,0.0,0.0,17.7,1,0,0,0.9,0.9,0.06,-0.9,-0.9
ESP-La Liga,2425,Atlético Madrid,Samuel Lino,,,24.0,1999.0,17.2,3,45,18,40.0,2.61,1.04,0.07,0.17,16.3,0,0,0,6.0,6.0,0.13,-3.0,-3.0
ESP-La Liga,2425,Atlético Madrid,Thomas Lemar,,,28.0,1995.0,0.9,0,2,1,50.0,2.12,1.06,0.0,0.0,23.4,1,0,0,0.3,0.3,0.14,-0.3,-0.3
ESP-La Liga,2425,Atlético Madrid,Ángel Correa,,,29.0,1995.0,8.9,4,34,14,41.2,3.8,1.57,0.12,0.29,13.9,0,0,0,4.5,4.5,0.13,-0.5,-0.5
ESP-La Liga,2425,Barcelona,Alejandro Balde,,,20.0,2003.0,25.4,0,12,3,25.0,0.47,0.12,0.0,0.0,22.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5
ESP-La Liga,2425,Barcelona,Andreas Christensen,,,28.0,1996.0,2.8,0,1,0,0.0,0.35,0.0,0.0,,12.3,0,0,0,0.0,0.0,0.02,0.0,0.0
ESP-La Liga,2425,Barcelona,Ansu Fati,,,21.0,2002.0,2.6,0,12,5,41.7,4.64,1.93,0.0,0.0,17.1,0,0,0,1.0,1.0,0.08,-1.0,-1.0
ESP-La Liga,2425,Barcelona,Dani Olmo,,,26.0,1998.0,13.5,10,40,15,37.5,2.97,1.11,0.2,0.53,18.1,1,2,2,6.5,4.9,0.12,3.5,3.1
ESP-La Liga,2425,Barcelona,Daniel Rodriguez,,,18.0,2005.0,0.4,0,2,0,0.0,4.86,0.0,0.0,,22.2,0,0,0,0.0,0.0,0.01,0.0,0.0
ESP-La Liga,2425,Barcelona,Eric García,,,23.0,2001.0,17.4,2,14,8,57.1,0.8,0.46,0.14,0.25,10.7,0,0,0,2.3,2.3,0.17,-0.3,-0.3
ESP-La Liga,2425,Barcelona,Fermin López,,,21.0,2003.0,13.9,6,41,15,36.6,2.95,1.08,0.15,0.4,18.0,0,0,0,5.6,5.6,0.14,0.4,0.4
ESP-La Liga,2425,Barcelona,Ferrán Torres,,,24.0,2000.0,12.3,10,48,22,45.8,3.91,1.79,0.21,0.45,14.6,2,0,0,8.0,8.0,0.17,2.0,2.0
ESP-La Liga,2425,Barcelona,Frenkie de Jong,,,27.0,1997.0,12.7,2,5,3,60.0,0.39,0.24,0.4,0.67,17.0,0,0,0,0.7,0.7,0.13,1.3,1.3
ESP-La Liga,2425,Barcelona,Gavi,,,19.0,2004.0,12.1,1,11,1,9.1,0.91,0.08,0.09,1.0,15.3,0,0,0,0.9,0.9,0.08,0.1,0.1
ESP-La Liga,2425,Barcelona,Gerard Martín,,,22.0,2002.0,11.5,1,7,2,28.6,0.61,0.17,0.14,0.5,16.6,0,0,0,0.5,0.5,0.07,0.5,0.5
ESP-La Liga,2425,Barcelona,Héctor Fort,,,17.0,2006.0,6.5,0,6,0,0.0,0.92,0.0,0.0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ESP-La Liga,2425,Barcelona,Iñaki Peña,,,25.0,1999.0,15.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Barcelona,Iñigo Martínez,,,33.0,1991.0,27.7,0,13,2,15.4,0.47,0.07,0.0,0.0,13.5,0,0,0,0.5,0.5,0.04,-0.5,-0.5
ESP-La Liga,2425,Barcelona,Jules Koundé,,,25.0,1998.0,28.9,2,18,6,33.3,0.62,0.21,0.11,0.33,14.1,0,0,0,1.8,1.8,0.11,0.2,0.2
ESP-La Liga,2425,Barcelona,Lamine Yamal,,,17.0,2007.0,31.7,9,144,46,31.9,4.54,1.45,0.06,0.2,19.4,0,0,0,9.8,9.8,0.07,-0.8,-0.8
ESP-La Liga,2425,Barcelona,Marc Bernal,,,17.0,2007.0,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ESP-La Liga,2425,Barcelona,Marc Casado,,,20.0,2003.0,17.9,1,14,1,7.1,0.78,0.06,0.07,1.0,22.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,,,32.0,1992.0,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Barcelona,Pablo Torre,,,21.0,2003.0,3.4,3,6,4,66.7,1.74,1.16,0.5,0.75,23.5,1,0,0,0.4,0.4,0.06,2.6,2.6
ESP-La Liga,2425,Barcelona,Pau Cubarsí,,,17.0,2007.0,29.1,0,8,0,0.0,0.28,0.0,0.0,,8.9,0,0,0,0.8,0.8,0.1,-0.8,-0.8
ESP-La Liga,2425,Barcelona,Pau Victor,,,22.0,2001.0,3.5,2,14,8,57.1,3.95,2.26,0.14,0.25,15.2,0,0,0,3.0,3.0,0.22,-1.0,-1.0
ESP-La Liga,2425,Barcelona,Pedri,,,21.0,2002.0,32.0,4,25,11,44.0,0.78,0.34,0.16,0.36,19.6,0,0,0,2.2,2.2,0.09,1.8,1.8
ESP-La Liga,2425,Barcelona,Raphinha,,,27.0,1996.0,31.5,18,112,40,35.7,3.55,1.27,0.14,0.4,19.1,18,2,2,19.2,17.6,0.16,-1.2,-1.6
ESP-La Liga,2425,Barcelona,Robert Lewandowski,,,35.0,1988.0,29.6,27,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5,3,4,27.1,24.0,0.22,-0.1,0.0
ESP-La Liga,2425,Barcelona,Ronald Araújo,,,25.0,1999.0,8.4,1,4,2,50.0,0.48,0.24,0.25,0.5,11.8,0,0,0,1.0,1.0,0.24,0.0,0.0
ESP-La Liga,2425,Barcelona,Sergi Dominguez,,,19.0,2005.0,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,,,34.0,1990.0,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Abde Ezzalzouli,,,22.0,2001.0,22.0,2,61,25,41.0,2.77,1.13,0.03,0.08,15.6,1,0,1,8.0,7.2,0.12,-6.0,-5.2
ESP-La Liga,2425,Betis,Adrián,,,37.0,1987.0,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Aitor Ruibal,,,28.0,1996.0,14.6,1,16,4,25.0,1.1,0.27,0.06,0.25,19.0,0,0,0,0.9,0.9,0.06,0.1,0.1
ESP-La Liga,2425,Betis,Antony,,,24.0,2000.0,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,19.9,1,0,0,2.9,2.9,0.07,2.1,2.1
ESP-La Liga,2425,Betis,Assane Diao,,,18.0,2005.0,3.1,1,7,1,14.3,2.27,0.32,0.14,1.0,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2
ESP-La Liga,2425,Betis,Carlos Guirao,,,21.0,2003.0,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Cucho,,,25.0,1999.0,12.7,5,43,11,25.6,3.4,0.87,0.12,0.45,15.9,0,0,0,3.8,3.8,0.09,1.2,1.2
ESP-La Liga,2425,Betis,Cédric Bakambu,,,33.0,1991.0,7.9,2,24,11,45.8,3.04,1.39,0.08,0.18,13.7,0,0,0,3.2,3.2,0.13,-1.2,-1.2
ESP-La Liga,2425,Betis,Diego Llorente,,,30.0,1993.0,28.0,2,11,4,36.4,0.39,0.14,0.18,0.5,11.3,0,0,0,1.5,1.5,0.14,0.5,0.5
ESP-La Liga,2425,Betis,Ezequiel Ávila,,,30.0,1994.0,7.5,2,20,10,50.0,2.66,1.33,0.1,0.2,17.9,0,0,0,1.5,1.5,0.08,0.5,0.5
ESP-La Liga,2425,Betis,Fran Vieites,,,25.0,1999.0,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,13.0,0,0,0,0.0,0.0,0.03,0.0,0.0
ESP-La Liga,2425,Betis,Giovani Lo Celso,,,28.0,1996.0,16.2,8,31,16,51.6,1.91,0.99,0.19,0.38,22.0,4,2,3,4.8,2.4,0.08,3.2,3.6
ESP-La Liga,2425,Betis,Héctor Bellerín,,,29.0,1995.0,6.4,0,1,1,100.0,0.16,0.16,0.0,0.0,14.6,0,0,0,0.2,0.2,0.2,-0.2,-0.2
ESP-La Liga,2425,Betis,Iker Losada,,,22.0,2001.0,3.7,0,5,1,20.0,1.34,0.27,0.0,0.0,18.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5
ESP-La Liga,2425,Betis,Isco,,,32.0,1992.0,17.2,9,38,9,23.7,2.21,0.52,0.11,0.44,22.0,4,5,6,8.6,3.9,0.1,0.4,0.1
ESP-La Liga,2425,Betis,Jesus Rodríguez,,,18.0,2005.0,12.3,2,23,8,34.8,1.86,0.65,0.09,0.25,17.9,0,0,0,2.3,2.3,0.1,-0.3,-0.3
ESP-La Liga,2425,Betis,Johnny Cardoso,,,22.0,2001.0,23.8,3,19,7,36.8,0.8,0.29,0.16,0.43,14.9,0,0,0,2.0,2.0,0.11,1.0,1.0
ESP-La Liga,2425,Betis,Juanmi,,,31.0,1993.0,2.7,0,6,1,16.7,2.21,0.37,0.0,0.0,14.1,0,0,0,0.7,0.7,0.11,-0.7,-0.7
ESP-La Liga,2425,Betis,Marc Bartra,,,33.0,1991.0,23.3,2,18,5,27.8,0.77,0.21,0.11,0.4,20.8,1,0,0,1.2,1.2,0.07,0.8,0.8
ESP-La Liga,2425,Betis,Marc Roca,,,27.0,1996.0,10.1,2,12,4,33.3,1.19,0.4,0.17,0.5,16.9,1,0,0,1.1,1.1,0.09,0.9,0.9
ESP-La Liga,2425,Betis,Mateo Flores,,,20.0,2004.0,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Nabil Fekir,,,31.0,1993.0,2.0,0,7,1,14.3,3.5,0.5,0.0,0.0,23.5,0,0,0,0.7,0.7,0.1,-0.7,-0.7
ESP-La Liga,2425,Betis,Natan,,,23.0,2001.0,24.2,1,9,4,44.4,0.37,0.17,0.11,0.25,13.9,0,0,0,0.3,0.3,0.04,0.7,0.7
ESP-La Liga,2425,Betis,Nobel Mendy,,,19.0,2004.0,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Pablo Fornals,,,28.0,1996.0,20.3,2,23,4,17.4,1.13,0.2,0.09,0.5,21.7,0,0,0,1.8,1.8,0.08,0.2,0.2
ESP-La Liga,2425,Betis,Pablo Garcia,,,17.0,2006.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Ricardo Rodríguez,,,31.0,1992.0,14.2,0,5,1,20.0,0.35,0.07,0.0,0.0,26.3,2,0,0,0.2,0.2,0.04,-0.2,-0.2
ESP-La Liga,2425,Betis,Rodri,,,24.0,2000.0,1.3,0,2,2,100.0,1.53,1.53,0.0,0.0,22.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
ESP-La Liga,2425,Betis,Romain Perraud,,,26.0,1997.0,22.2,2,20,5,25.0,0.9,0.22,0.1,0.4,21.7,0,0,0,0.6,0.6,0.03,1.4,1.4
ESP-La Liga,2425,Betis,Rui Silva,,,30.0,1994.0,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Sergi Altimira,,,22.0,2001.0,21.9,0,21,4,19.0,0.96,0.18,0.0,0.0,21.2,0,0,0,1.7,1.6,0.08,-1.7,-1.6
ESP-La Liga,2425,Betis,Sergio Arribas,,,21.0,2003.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Betis,Vitor Roque,,,19.0,2005.0,13.7,4,41,18,43.9,2.99,1.31,0.1,0.22,14.5,0,0,0,6.1,6.1,0.15,-2.1,-2.1
ESP-La Liga,2425,Betis,William Carvalho,,,32.0,1992.0,5.4,0,4,1,25.0,0.74,0.19,0.0,0.0,16.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ESP-La Liga,2425,Betis,Youssouf Sabaly,,,31.0,1993.0,17.6,0,5,0,0.0,0.28,0.0,0.0,,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ESP-La Liga,2425,Betis,Ángel Ortíz,,,20.0,2004.0,3.9,0,2,0,0.0,0.51,0.0,0.0,,23.0,0,0,0,0.0,0.0,0.02,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Alfon,,,25.0,1999.0,15.2,5,46,19,41.3,3.02,1.25,0.11,0.26,17.3,0,0,0,4.6,4.6,0.1,0.4,0.4
ESP-La Liga,2425,Celta Vigo,Anastasios Douvikas,,,24.0,1999.0,7.8,3,17,9,52.9,2.19,1.16,0.18,0.33,11.1,0,0,0,4.4,4.4,0.26,-1.4,-1.4
ESP-La Liga,2425,Celta Vigo,Borja Iglesias,,,31.0,1993.0,21.7,11,46,28,60.9,2.12,1.29,0.24,0.39,13.4,0,0,0,9.3,9.3,0.2,1.7,1.7
ESP-La Liga,2425,Celta Vigo,Carl Starfelt,,,29.0,1995.0,25.2,1,5,1,20.0,0.2,0.04,0.2,1.0,11.6,0,0,0,0.5,0.5,0.1,0.5,0.5
ESP-La Liga,2425,Celta Vigo,Carlos Dominguez,,,23.0,2001.0,13.1,0,3,1,33.3,0.23,0.08,0.0,0.0,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ESP-La Liga,2425,Celta Vigo,Damián Rodríguez,,,21.0,2003.0,10.3,0,4,0,0.0,0.39,0.0,0.0,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ESP-La Liga,2425,Celta Vigo,Fer López,,,,,7.5,2,20,5,25.0,2.68,0.67,0.1,0.4,15.7,0,0,0,2.7,2.7,0.14,-0.7,-0.7
ESP-La Liga,2425,Celta Vigo,Fran Beltrán,,,25.0,1999.0,26.9,2,23,4,17.4,0.86,0.15,0.09,0.5,23.1,0,0,0,1.0,1.0,0.04,1.0,1.0
ESP-La Liga,2425,Celta Vigo,Franco Cervi,,,30.0,1994.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Hugo Sotelo,,,20.0,2003.0,13.9,0,4,0,0.0,0.29,0.0,0.0,,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ESP-La Liga,2425,Celta Vigo,Hugo Álvarez,,,21.0,2003.0,17.5,4,25,9,36.0,1.43,0.52,0.16,0.44,16.2,1,0,0,2.5,2.5,0.1,1.5,1.5
ESP-La Liga,2425,Celta Vigo,Iago Aspas,,,36.0,1987.0,19.4,10,46,18,39.1,2.37,0.93,0.11,0.28,21.3,3,5,6,8.7,4.0,0.09,1.3,1.0
ESP-La Liga,2425,Celta Vigo,Iker Losada,,,22.0,2001.0,4.0,1,3,2,66.7,0.75,0.5,0.33,0.5,11.7,0,0,0,1.1,1.1,0.38,-0.1,-0.1
ESP-La Liga,2425,Celta Vigo,Ilaix Moriba,,,21.0,2003.0,23.7,1,34,11,32.4,1.44,0.46,0.03,0.09,23.7,0,0,0,1.7,1.7,0.05,-0.7,-0.7
ESP-La Liga,2425,Celta Vigo,Iván Villar,,,27.0,1997.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Jailson Siqueira,,,28.0,1995.0,6.8,0,4,2,50.0,0.59,0.29,0.0,0.0,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ESP-La Liga,2425,Celta Vigo,Javi Rodríguez,,,21.0,2003.0,27.9,3,12,5,41.7,0.43,0.18,0.25,0.6,10.8,0,0,0,2.3,2.3,0.2,0.7,0.7
ESP-La Liga,2425,Celta Vigo,Javier Manquillo,,,30.0,1994.0,5.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Jonathan Bamba,,,28.0,1996.0,9.0,0,13,6,46.2,1.44,0.67,0.0,0.0,18.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8
ESP-La Liga,2425,Celta Vigo,Joseph Aidoo,,,28.0,1995.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Luca de la Torre,,,26.0,1998.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Marcos Alonso,,,33.0,1990.0,29.4,3,31,10,32.3,1.05,0.34,0.0,0.0,20.3,7,3,3,4.0,1.6,0.05,-1.0,-1.6
ESP-La Liga,2425,Celta Vigo,Mihailo Ristić,,,28.0,1995.0,4.8,0,2,0,0.0,0.42,0.0,0.0,,26.1,0,0,0,0.0,0.0,0.01,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Pablo Durán,,,23.0,2001.0,15.5,4,26,9,34.6,1.68,0.58,0.15,0.44,14.8,0,0,0,3.6,3.6,0.14,0.4,0.4
ESP-La Liga,2425,Celta Vigo,Sergio Carreira,,,23.0,2000.0,18.4,0,13,3,23.1,0.71,0.16,0.0,0.0,15.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6
ESP-La Liga,2425,Celta Vigo,Tadeo Allende,,,25.0,1999.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,,,37.0,1987.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Williot Swedberg,,,20.0,2004.0,15.0,4,32,15,46.9,2.14,1.0,0.13,0.27,14.7,0,0,0,5.2,5.2,0.17,-1.2,-1.2
ESP-La Liga,2425,Celta Vigo,Yoel Lago,,,20.0,2004.0,6.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2425,Celta Vigo,Óscar Mingueza,,,25.0,1999.0,30.3,4,33,10,30.3,1.09,0.33,0.12,0.4,23.3,8,0,0,1.5,1.5,0.04,2.5,2.5
ESP-La Liga,2425,Espanyol,Alejo Véliz,,,20.0,2003.0,12.5,1,19,6,31.6,1.52,0.48,0.05,0.17,10.7,0,0,0,2.3,2.3,0.12,-1.3,-1.3
ESP-La Liga,2425,Espanyol,Alex Král,,,26.0,1998.0,30.2,0,21,2,9.5,0.7,0.07,0.0,0.0,16.0,0,0,0,1.5,1.5,0.07,-1.5,-1.5
ESP-La Liga,2425,Espanyol,Antoniu,,,21.0,2002.0,11.4,0,10,4,40.0,0.88,0.35,0.0,0.0,19.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9
ESP-La Liga,2425,Espanyol,Brian Oliván,,,30.0,1994.0,11.3,0,6,1,16.7,0.53,0.09,0.0,0.0,23.8,2,0,0,0.4,0.4,0.06,-0.4,-0.4
