,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,13.3,20,14,10,4,6,16,38,42.1,22,10,8,2,16,36,44,0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,19.2,29,15,9,11,9,13,24,54.2,11,22,0,22,3,32,8,0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,21,9
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,31.4,53,25,22,25,6,17,41,41.5,24,27,13,14,25,78,51,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,9.9,11,7,4,4,3,7,21,33.3,14,8,2,6,2,13,4,1
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,25.4,23,15,9,6,8,7,23,30.4,16,15,0,15,5,28,19,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,12.5,22,8,13,7,2,11,15,73.3,4,13,8,5,6,28,58,3
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,1991,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,20.8,16,9,3,6,7,4,15,26.7,11,23,4,19,6,22,33,1
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997,2.9,7,5,4,1,2,4,6,66.7,2,0,0,0,3,10,9,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,28.3,31,20,6,16,9,12,34,35.3,22,32,0,32,9,40,18,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,25.8,19,11,9,7,3,4,25,16.0,21,5,0,5,6,25,6,1
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,17.6,46,28,7,26,13,20,36,55.6,16,18,5,13,15,61,26,2
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,15.2,22,14,10,9,3,10,11,90.9,1,4,1,3,7,29,27,0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
