league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,carries_carries,carries_totdist,carries_prgdist,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third
ENG-Premier League,2425,Nott'ham Forest,Danilo,BRA,Midfielder/Forward,23.0,2001.0,8,5,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,8.0,54.0,85.0,13.0,0.0,150.0,54.0,237.0,61.0,8.0,4.0,7.0,1.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,Midfielder,21.0,2002.0,37,33,2728,30.3,2,6,8,2,0,0,10,0,2.1,2.1,3.3,5.4,52,143,95,0.07,0.2,0.26,0.07,0.26,0.07,0.11,0.18,0.07,0.18,1832.0,102.0,424.0,891.0,547.0,72.0,1832.0,932.0,5071.0,2366.0,92.0,56.0,54.0,29.0,9.0
ENG-Premier League,2425,Nott'ham Forest,Eric da Silva Moreira,GER,Midfielder/Defender,18.0,2006.0,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,7.0,4.0,2.0,0.0,13.0,4.0,26.0,11.0,2.0,2.0,2.0,0.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Harry Toffolo,ENG,Defender,28.0,1995.0,4,1,137,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,88.0,9.0,32.0,22.0,34.0,2.0,88.0,17.0,57.0,23.0,5.0,3.0,3.0,1.0,1.0
ENG-Premier League,2425,Nott'ham Forest,Ibrahim Sangaré,CIV,Midfielder,26.0,1997.0,13,7,590,6.6,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,1,27,4,0.0,0.15,0.15,0.0,0.15,0.0,0.06,0.06,0.0,0.06,407.0,26.0,110.0,247.0,52.0,7.0,407.0,171.0,759.0,283.0,28.0,14.0,8.0,17.0,3.0
ENG-Premier League,2425,Nott'ham Forest,James Ward-Prowse,ENG,Midfielder,29.0,1994.0,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26,205.0,13.0,49.0,115.0,45.0,1.0,205.0,92.0,407.0,170.0,4.0,1.0,1.0,3.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Jota Silva,POR,Forward/Midfielder,24.0,1999.0,31,5,854,9.5,3,1,4,3,0,0,5,0,2.1,2.1,2.9,5.0,21,18,59,0.32,0.11,0.42,0.32,0.42,0.22,0.3,0.53,0.22,0.53,357.0,19.0,83.0,104.0,181.0,46.0,357.0,175.0,1153.0,632.0,27.0,14.0,12.0,13.0,2.0
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,Goalkeeper,32.0,1992.0,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1102.0,833.0,1082.0,20.0,0.0,0.0,1102.0,528.0,3230.0,1697.0,1.0,1.0,1.0,0.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Morato,BRA,Defender,23.0,2001.0,26,6,907,10.1,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,1,19,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,457.0,90.0,270.0,170.0,19.0,2.0,457.0,164.0,789.0,417.0,22.0,14.0,18.0,3.0,1.0
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,Midfielder,24.0,2000.0,34,34,2803,31.1,7,8,15,7,0,0,11,1,6.3,6.3,5.0,11.2,69,164,136,0.22,0.26,0.48,0.22,0.48,0.2,0.16,0.36,0.2,0.36,1626.0,35.0,185.0,830.0,636.0,92.0,1626.0,923.0,5093.0,2566.0,43.0,22.0,14.0,23.0,6.0
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,Defender,22.0,2002.0,36,36,3188,35.4,2,0,2,2,0,0,6,0,1.4,1.4,1.2,2.6,22,115,5,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,1918.0,421.0,989.0,840.0,105.0,24.0,1918.0,821.0,4254.0,2531.0,53.0,36.0,38.0,12.0,3.0
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,Defender,23.0,2001.0,35,28,2594,28.8,1,3,4,1,0,0,7,0,2.3,2.3,1.6,3.9,68,89,103,0.03,0.1,0.14,0.03,0.14,0.08,0.05,0.13,0.08,0.13,1565.0,155.0,558.0,574.0,453.0,45.0,1565.0,650.0,3952.0,2169.0,90.0,57.0,63.0,19.0,8.0
ENG-Premier League,2425,Nott'ham Forest,Nicolás Domínguez,ARG,Midfielder/Forward,26.0,1998.0,34,23,1963,21.8,0,1,1,0,0,0,9,0,1.5,1.5,1.3,2.8,16,83,33,0.0,0.05,0.05,0.0,0.05,0.07,0.06,0.13,0.07,0.13,1218.0,78.0,303.0,630.0,295.0,33.0,1218.0,471.0,1863.0,924.0,86.0,45.0,40.0,35.0,11.0
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,Defender,26.0,1997.0,37,37,3330,37.0,5,2,7,5,0,0,4,0,4.0,4.0,1.1,5.1,3,51,6,0.14,0.05,0.19,0.14,0.19,0.11,0.03,0.14,0.11,0.14,1412.0,257.0,775.0,552.0,89.0,64.0,1412.0,547.0,2345.0,1116.0,51.0,29.0,36.0,13.0,2.0
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,Defender,27.0,1996.0,35,35,2995,33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,1708.0,156.0,613.0,717.0,409.0,22.0,1708.0,749.0,4798.0,2787.0,55.0,42.0,39.0,15.0,1.0
ENG-Premier League,2425,Nott'ham Forest,Ramón Sosa,PAR,Forward/Midfielder,24.0,1999.0,19,1,295,3.3,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.5,12,6,17,0.31,0.0,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45,154.0,6.0,36.0,48.0,77.0,15.0,154.0,75.0,601.0,333.0,5.0,3.0,3.0,0.0,2.0
ENG-Premier League,2425,Nott'ham Forest,Ryan Yates,ENG,Midfielder,26.0,1997.0,35,18,1915,21.3,2,1,3,2,0,0,10,0,2.3,2.3,1.2,3.5,18,53,16,0.09,0.05,0.14,0.09,0.14,0.11,0.05,0.16,0.11,0.16,1041.0,80.0,276.0,510.0,266.0,41.0,1041.0,424.0,2057.0,934.0,42.0,21.0,24.0,14.0,4.0
ENG-Premier League,2425,Nott'ham Forest,Taiwo Awoniyi,NGA,Forward,26.0,1997.0,26,3,416,4.6,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,0.22,0.0,0.22,0.22,0.22,0.46,0.02,0.48,0.46,0.48,167.0,5.0,16.0,78.0,74.0,21.0,167.0,90.0,402.0,183.0,6.0,3.0,0.0,3.0,3.0
ENG-Premier League,2425,Nott'ham Forest,Willy Boly,CIV,Defender,33.0,1991.0,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,97.0,22.0,63.0,32.0,2.0,1.0,97.0,35.0,128.0,45.0,6.0,1.0,5.0,1.0,0.0
ENG-Premier League,2425,Nott'ham Forest,Álex Moreno,ESP,Defender/Midfielder,31.0,1993.0,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.13,0.02,0.13,559.0,60.0,210.0,202.0,158.0,8.0,559.0,229.0,1470.0,864.0,25.0,18.0,20.0,5.0,0.0
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,Goalkeeper,26.0,1998.0,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.0,946.0,1286.0,32.0,0.0,0.0,1314.0,786.0,4017.0,2349.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Adam Armstrong,ENG,Forward/Midfielder,27.0,1997.0,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,377.0,11.0,44.0,143.0,192.0,49.0,376.0,235.0,1324.0,599.0,12.0,3.0,2.0,7.0,3.0
ENG-Premier League,2425,Southampton,Adam Lallana,ENG,Midfielder,36.0,1988.0,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,318.0,19.0,91.0,155.0,73.0,6.0,318.0,178.0,831.0,366.0,8.0,5.0,4.0,4.0,0.0
ENG-Premier League,2425,Southampton,Albert Grønbaek,DEN,Forward/Midfielder,23.0,2001.0,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,38.0,2.0,9.0,14.0,15.0,2.0,38.0,18.0,79.0,15.0,4.0,1.0,1.0,1.0,2.0
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,Goalkeeper,34.0,1989.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,141.0,173.0,0.0,0.0,0.0,173.0,100.0,452.0,276.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Armel Bella Kotchap,GER,Defender,22.0,2001.0,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,263.0,33.0,147.0,115.0,3.0,1.0,263.0,186.0,936.0,326.0,7.0,5.0,5.0,2.0,0.0
ENG-Premier League,2425,Southampton,Ben Brereton,CHI,Forward,25.0,1999.0,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,206.0,4.0,19.0,76.0,112.0,20.0,206.0,136.0,791.0,394.0,3.0,2.0,0.0,2.0,1.0
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,Forward,23.0,2001.0,35,13,1441,16.0,2,0,2,2,0,1,0,0,5.7,4.9,0.5,5.4,22,14,66,0.12,0.0,0.12,0.12,0.12,0.36,0.03,0.39,0.31,0.34,398.0,16.0,69.0,179.0,154.0,52.0,397.0,226.0,1182.0,564.0,13.0,8.0,8.0,3.0,2.0
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,Midfielder,21.0,2002.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,17.0,0.0,1.0,8.0,9.0,2.0,17.0,12.0,112.0,98.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,Defender,30.0,1993.0,8,3,356,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,279.0,35.0,121.0,120.0,39.0,2.0,279.0,116.0,500.0,187.0,7.0,5.0,4.0,3.0,0.0
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,Midfielder,25.0,1999.0,27,25,2151,23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.1,1.7,29,66,29,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,1339.0,99.0,403.0,719.0,227.0,21.0,1339.0,641.0,3520.0,1826.0,49.0,25.0,23.0,21.0,5.0
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,Defender,30.0,1994.0,19,17,1389,15.4,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,14,63,2,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,1097.0,128.0,461.0,543.0,97.0,11.0,1097.0,631.0,2996.0,1407.0,34.0,20.0,25.0,9.0,0.0
ENG-Premier League,2425,Southampton,James Bree,ENG,Defender,26.0,1997.0,17,13,1075,11.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,13,34,43,0.0,0.08,0.08,0.0,0.08,0.01,0.08,0.08,0.01,0.08,694.0,49.0,221.0,308.0,170.0,11.0,694.0,363.0,1586.0,808.0,19.0,14.0,8.0,10.0,1.0
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,Defender,28.0,1996.0,30,30,2531,28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,2049.0,386.0,1091.0,924.0,41.0,15.0,2049.0,1046.0,3845.0,1742.0,36.0,19.0,23.0,13.0,0.0
ENG-Premier League,2425,Southampton,Jay Robinson,ENG,Midfielder/Forward,17.0,2007.0,4,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,3,1,10,0.0,0.0,0.0,0.0,0.0,0.03,0.44,0.47,0.03,0.47,54.0,4.0,15.0,18.0,22.0,5.0,54.0,33.0,188.0,92.0,4.0,1.0,3.0,0.0,1.0
ENG-Premier League,2425,Southampton,Joachim Kayi Sanda,FRA,Defender,17.0,2006.0,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,8.0,10.0,1.0,1.0,19.0,14.0,63.0,35.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,Midfielder/Defender,28.0,1996.0,32,21,2013,22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,1271.0,52.0,313.0,670.0,299.0,44.0,1271.0,745.0,4068.0,2021.0,47.0,33.0,17.0,24.0,6.0
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,Goalkeeper,29.0,1995.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,116.0,161.0,3.0,0.0,0.0,164.0,103.0,476.0,296.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,Forward/Midfielder,22.0,2002.0,26,17,1402,15.6,1,1,2,1,0,0,2,0,1.5,1.5,1.0,2.5,63,27,87,0.06,0.06,0.13,0.06,0.13,0.1,0.06,0.16,0.1,0.16,587.0,17.0,92.0,219.0,301.0,59.0,587.0,380.0,3283.0,1620.0,22.0,17.0,9.0,5.0,8.0
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,Defender,27.0,1997.0,33,33,2918,32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0.0,0.06,0.06,0.0,0.06,0.03,0.09,0.11,0.03,0.11,2022.0,151.0,615.0,884.0,540.0,59.0,2022.0,1271.0,7917.0,4373.0,44.0,29.0,22.0,15.0,7.0
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,Midfielder,20.0,2004.0,26,18,1655,18.4,1,1,2,1,0,0,7,0,0.9,0.9,1.0,1.9,29,49,20,0.05,0.05,0.11,0.05,0.11,0.05,0.06,0.1,0.05,0.1,879.0,50.0,215.0,501.0,169.0,24.0,879.0,479.0,2565.0,1229.0,50.0,24.0,16.0,30.0,4.0
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,Midfielder,20.0,2004.0,36,34,2909,32.3,2,4,6,2,0,0,8,0,4.0,4.0,3.0,7.0,76,145,108,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,1760.0,72.0,385.0,867.0,547.0,49.0,1760.0,897.0,5736.0,3143.0,89.0,48.0,45.0,28.0,16.0
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,Forward,27.0,1996.0,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,34.0,1.0,8.0,14.0,13.0,2.0,34.0,16.0,73.0,26.0,5.0,5.0,1.0,4.0,0.0
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,Defender,22.0,2002.0,11,9,773,8.6,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,564.0,75.0,282.0,255.0,28.0,3.0,564.0,313.0,1352.0,535.0,14.0,8.0,8.0,5.0,1.0
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,Forward,30.0,1994.0,25,11,1050,11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,440.0,17.0,45.0,235.0,163.0,67.0,440.0,214.0,857.0,248.0,7.0,2.0,1.0,5.0,1.0
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,Defender,21.0,2003.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,0.0,0.0,6.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,Forward,28.0,1996.0,12,4,389,4.3,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,3,2,10,0.23,0.0,0.23,0.23,0.23,0.25,0.0,0.25,0.25,0.25,140.0,9.0,25.0,55.0,62.0,15.0,140.0,64.0,298.0,81.0,6.0,4.0,1.0,1.0,4.0
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,Forward/Defender,30.0,1994.0,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,131.0,12.0,45.0,50.0,37.0,3.0,131.0,74.0,492.0,252.0,6.0,2.0,2.0,4.0,0.0
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,Defender/Midfielder,28.0,1996.0,24,18,1462,16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0.0,0.06,0.06,0.0,0.06,0.02,0.2,0.22,0.02,0.22,968.0,72.0,260.0,397.0,321.0,22.0,968.0,483.0,2023.0,982.0,28.0,17.0,16.0,10.0,2.0
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,Forward/Defender,18.0,2006.0,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29,16.0,0.0,5.0,5.0,7.0,1.0,16.0,11.0,98.0,68.0,1.0,0.0,0.0,1.0,0.0
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,Defender/Forward,21.0,2003.0,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,43.0,0.0,0.0,7.0,36.0,10.0,43.0,34.0,336.0,197.0,3.0,1.0,0.0,1.0,2.0
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,Defender,22.0,2002.0,34,32,2825,31.4,1,0,1,1,0,0,9,0,1.8,1.8,1.0,2.8,29,125,9,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,2475.0,340.0,1158.0,1145.0,182.0,42.0,2475.0,1433.0,6776.0,3938.0,28.0,20.0,13.0,12.0,3.0
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,Forward/Midfielder,18.0,2006.0,33,20,1874,20.8,2,0,2,2,0,0,6,0,2.5,2.5,1.5,4.1,69,64,96,0.1,0.0,0.1,0.1,0.1,0.12,0.07,0.2,0.12,0.2,868.0,27.0,129.0,390.0,369.0,41.0,868.0,558.0,4418.0,2215.0,34.0,20.0,13.0,18.0,3.0
ENG-Premier League,2425,Southampton,Welington,BRA,Defender,23.0,2001.0,10,6,482,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,11,19,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,276.0,31.0,113.0,102.0,64.0,3.0,276.0,100.0,389.0,197.0,21.0,9.0,15.0,5.0,1.0
ENG-Premier League,2425,Southampton,William Smallbone,IRL,Midfielder,24.0,2000.0,18,6,690,7.7,1,0,1,1,0,0,1,0,0.6,0.6,0.7,1.3,5,27,25,0.13,0.0,0.13,0.13,0.13,0.07,0.1,0.17,0.07,0.17,431.0,17.0,83.0,213.0,139.0,17.0,431.0,193.0,787.0,397.0,20.0,13.0,9.0,9.0,2.0
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,Defender/Midfielder,24.0,2000.0,30,16,1557,17.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,33,72,78,0.06,0.06,0.12,0.06,0.12,0.03,0.13,0.16,0.03,0.16,1066.0,67.0,327.0,410.0,334.0,29.0,1066.0,564.0,2569.0,1384.0,31.0,18.0,16.0,14.0,1.0
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,Defender,19.0,2005.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,5.0,0.0,0.0,16.0,12.0,61.0,26.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Tottenham,Antonín Kinský,CZE,Goalkeeper,21.0,2003.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,237.0,205.0,234.0,3.0,0.0,0.0,237.0,144.0,760.0,491.0,3.0,1.0,3.0,0.0,0.0
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,Defender/Midfielder,18.0,2006.0,28,19,1751,19.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,7,40,17,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1286.0,150.0,609.0,582.0,106.0,3.0,1286.0,878.0,4023.0,1678.0,16.0,8.0,4.0,8.0,4.0
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,Defender,31.0,1993.0,17,14,1331,14.8,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,14,52,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,1186.0,215.0,643.0,495.0,48.0,13.0,1186.0,664.0,3255.0,1824.0,17.0,11.0,8.0,8.0,1.0
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,Goalkeeper,25.0,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,30.0,36.0,0.0,0.0,0.0,36.0,22.0,104.0,46.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,Forward,23.0,2001.0,33,24,2177,24.2,11,3,14,11,0,0,5,0,10.4,10.4,2.3,12.7,60,71,197,0.45,0.12,0.58,0.45,0.58,0.43,0.09,0.52,0.43,0.52,853.0,18.0,98.0,292.0,475.0,125.0,853.0,544.0,2939.0,1460.0,39.0,26.0,9.0,20.0,10.0
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,Defender,26.0,1998.0,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.0,0.06,0.06,0.06,0.1,0.04,0.14,0.1,0.14,1377.0,157.0,594.0,720.0,74.0,23.0,1377.0,896.0,4702.0,2893.0,35.0,29.0,26.0,8.0,1.0
ENG-Premier League,2425,Tottenham,Dane Scarlett,ENG,Forward/Midfielder,20.0,2004.0,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.0,2.65,2.65,0.0,2.65,0.09,0.12,0.22,0.09,0.22,9.0,1.0,3.0,5.0,1.0,1.0,9.0,5.0,66.0,33.0,1.0,0.0,0.0,1.0,0.0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,Midfielder/Forward,24.0,2000.0,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,1276.0,24.0,149.0,432.0,719.0,158.0,1276.0,823.0,6157.0,3208.0,45.0,23.0,17.0,13.0,15.0
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,Defender,21.0,2002.0,25,24,1924,21.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,121,94,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.08,0.01,0.08,1376.0,63.0,394.0,609.0,389.0,49.0,1376.0,758.0,4340.0,2352.0,75.0,47.0,42.0,26.0,7.0
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,Defender,23.0,2000.0,25,19,1792,19.9,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,59,105,70,0.05,0.1,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,1428.0,81.0,500.0,641.0,309.0,25.0,1428.0,794.0,4661.0,2481.0,47.0,34.0,25.0,15.0,7.0
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,Forward,26.0,1997.0,27,25,2201,24.5,9,3,12,8,1,1,0,0,10.9,10.1,2.9,13.1,31,47,88,0.37,0.12,0.49,0.33,0.45,0.45,0.12,0.57,0.41,0.54,655.0,33.0,74.0,299.0,288.0,112.0,654.0,385.0,2126.0,848.0,18.0,11.0,1.0,12.0,5.0
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,Goalkeeper,36.0,1988.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,212.0,228.0,0.0,0.0,0.0,228.0,113.0,501.0,264.0,0.0,0.0,0.0,0.0,0.0
