league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,carries_carries,carries_totdist,carries_prgdist,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,Midfielder,25.0,1998.0,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4.0,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,1694.0,9.0,126.0,708.0,875.0,115.0,1693.0,1174.0,7444.0,3772.0,19.0,11.0,9.0,7.0,3.0
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,Midfielder/Forward,28.0,1996.0,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,783.0,37.0,140.0,330.0,323.0,79.0,783.0,388.0,1518.0,747.0,46.0,28.0,7.0,26.0,13.0
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,Defender,17.0,2006.0,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,905.0,28.0,178.0,476.0,265.0,17.0,905.0,526.0,2692.0,1663.0,22.0,14.0,10.0,9.0,3.0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,Forward,21.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,Defender/Midfielder,27.0,1996.0,15,5,527,5.9,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.8,10,48,14,0.0,0.17,0.17,0.0,0.17,0.11,0.03,0.14,0.11,0.14,499.0,16.0,86.0,233.0,181.0,20.0,499.0,281.0,1348.0,573.0,6.0,1.0,1.0,3.0,2.0
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,Forward/Midfielder,29.0,1994.0,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34,274.0,2.0,10.0,58.0,209.0,38.0,274.0,201.0,1407.0,750.0,9.0,4.0,1.0,3.0,5.0
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,Forward,24.0,1999.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,Defender,22.0,2002.0,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11,653.0,30.0,164.0,264.0,229.0,30.0,653.0,308.0,1655.0,889.0,27.0,19.0,15.0,10.0,2.0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,Defender,25.0,1998.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,7.0,1.0,4.0,1.0,2.0,1.0,7.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,Midfielder/Defender,31.0,1993.0,35,31,2797,31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,2193.0,74.0,457.0,1214.0,534.0,33.0,2193.0,1256.0,6822.0,3691.0,89.0,53.0,26.0,39.0,24.0
ENG-Premier League,2425,Arsenal,William Saliba,FRA,Defender,23.0,2001.0,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,2824.0,190.0,1127.0,1571.0,142.0,18.0,2824.0,1756.0,7626.0,4154.0,62.0,37.0,37.0,23.0,2.0
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,Midfielder,22.0,2001.0,26,20,1617,18.0,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0.0,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16,998.0,71.0,269.0,586.0,159.0,23.0,998.0,553.0,2931.0,1577.0,55.0,30.0,23.0,26.0,6.0
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,Defender/Midfielder,21.0,2003.0,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,256.0,8.0,38.0,108.0,112.0,2.0,256.0,159.0,1262.0,673.0,9.0,5.0,5.0,3.0,1.0
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,Defender,26.0,1998.0,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,334.0,32.0,130.0,178.0,29.0,6.0,334.0,207.0,1268.0,621.0,8.0,5.0,7.0,1.0,0.0
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,Midfielder,24.0,1999.0,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,19,85,7,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09,1113.0,95.0,344.0,637.0,141.0,12.0,1113.0,591.0,2976.0,1370.0,50.0,21.0,28.0,18.0,4.0
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,Defender,31.0,1993.0,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,674.0,86.0,331.0,330.0,15.0,6.0,674.0,419.0,2133.0,1162.0,8.0,3.0,6.0,1.0,1.0
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,Forward,25.0,1999.0,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0.0,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69,129.0,2.0,9.0,33.0,94.0,25.0,129.0,79.0,652.0,370.0,7.0,4.0,3.0,3.0,1.0
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,Midfielder/Forward,27.0,1996.0,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,82.0,0.0,17.0,35.0,31.0,3.0,82.0,53.0,185.0,119.0,6.0,6.0,3.0,2.0,1.0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,Goalkeeper,31.0,1992.0,37,37,3194,35.5,0,0,0,0,0,0,5,1,0.0,0.0,0.5,0.5,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,1449.0,1095.0,1429.0,20.0,0.0,0.0,1449.0,889.0,4616.0,2936.0,3.0,3.0,3.0,0.0,0.0
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,Defender,26.0,1997.0,34,33,2936,32.6,2,0,2,2,0,0,1,0,1.3,1.3,0.4,1.7,24,90,11,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,1915.0,250.0,883.0,934.0,107.0,22.0,1915.0,1132.0,5817.0,3008.0,34.0,18.0,20.0,10.0,4.0
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,Defender,22.0,2002.0,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.9,0.9,2.7,3.6,31,50,104,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28,917.0,56.0,247.0,334.0,348.0,47.0,917.0,505.0,2636.0,1184.0,29.0,17.0,17.0,9.0,3.0
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,Forward/Midfielder,23.0,2001.0,29,19,1623,18.0,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.06,0.17,0.22,0.06,0.22,0.09,0.13,0.22,0.09,0.22,762.0,12.0,146.0,272.0,359.0,74.0,762.0,496.0,3441.0,1766.0,30.0,15.0,14.0,10.0,6.0
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,Forward/Midfielder,22.0,2002.0,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,145.0,4.0,27.0,54.0,66.0,14.0,145.0,75.0,520.0,239.0,11.0,5.0,4.0,7.0,0.0
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,Midfielder/Forward,29.0,1994.0,34,27,2223,24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.2,0.04,0.2,0.13,0.14,0.27,0.11,0.26,1072.0,31.0,164.0,558.0,361.0,58.0,1072.0,581.0,2930.0,1270.0,33.0,24.0,10.0,14.0,9.0
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,Forward,20.0,2003.0,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,263.0,13.0,36.0,110.0,122.0,47.0,263.0,133.0,535.0,267.0,8.0,7.0,1.0,2.0,5.0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,Defender,18.0,2005.0,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,4.0,15.0,32.0,19.0,0.0,66.0,27.0,101.0,33.0,7.0,5.0,1.0,3.0,3.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,Defender/Midfielder,20.0,2004.0,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,325.0,16.0,95.0,191.0,40.0,4.0,325.0,173.0,1031.0,599.0,14.0,6.0,6.0,6.0,2.0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,Forward/Midfielder,26.0,1997.0,24,14,1139,12.7,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,58,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,545.0,18.0,77.0,155.0,323.0,70.0,545.0,348.0,2582.0,1371.0,7.0,5.0,2.0,3.0,2.0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,Defender,31.0,1993.0,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.8,0.8,4.7,5.5,23,57,142,0.0,0.15,0.15,0.0,0.15,0.03,0.18,0.21,0.03,0.21,1527.0,97.0,541.0,457.0,539.0,28.0,1527.0,683.0,2983.0,1346.0,65.0,38.0,40.0,16.0,9.0
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,Midfielder,28.0,1996.0,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,1.0,3.8,22,45,38,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47,386.0,6.0,38.0,158.0,200.0,30.0,384.0,242.0,1466.0,682.0,7.0,5.0,0.0,7.0,0.0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,Forward,26.0,1997.0,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92,227.0,2.0,14.0,58.0,159.0,30.0,226.0,127.0,892.0,471.0,10.0,7.0,2.0,3.0,5.0
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,Defender,26.0,1997.0,27,24,2070,23.0,1,1,2,1,0,0,7,0,0.5,0.5,1.1,1.6,48,42,90,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,1186.0,90.0,432.0,463.0,304.0,42.0,1186.0,595.0,3700.0,1864.0,56.0,32.0,29.0,21.0,6.0
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,Forward/Midfielder,22.0,2002.0,37,37,3114,34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,114,123,188,0.23,0.29,0.52,0.23,0.52,0.19,0.23,0.42,0.19,0.42,1362.0,43.0,200.0,592.0,597.0,142.0,1362.0,794.0,5594.0,3232.0,43.0,22.0,15.0,15.0,13.0
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,Forward,28.0,1995.0,38,31,2598,28.9,16,8,24,14,2,2,2,0,15.3,13.8,3.3,17.1,55,31,165,0.55,0.28,0.83,0.48,0.76,0.53,0.12,0.65,0.48,0.59,695.0,18.0,50.0,248.0,407.0,168.0,693.0,409.0,2243.0,1125.0,10.0,7.0,0.0,6.0,4.0
