league,season,team,player,nationality,position,age,birth_year,90s,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,challenge_tackles,challenges_attempted,tackle_success_rate,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,,,30.0,1993.0,16.4,36,22,11,17,8,20,31,64.5,11,11,4,7,16,52,14,2
ESP-La Liga,2425,Athletic Club,Javi Martón,,,25.0,1999.0,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,,,23.0,2000.0,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,,,23.0,2001.0,8.4,5,0,1,4,0,2,7,28.6,5,1,0,1,1,6,2,1
ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,,,20.0,2003.0,24.9,84,48,25,45,14,41,83,49.4,42,24,4,20,29,113,36,2
ESP-La Liga,2425,Athletic Club,Mikel Vesga,,,31.0,1993.0,11.0,22,15,7,13,2,12,28,42.9,16,10,1,9,15,37,26,0
ESP-La Liga,2425,Athletic Club,Nico Williams,,,22.0,2002.0,22.2,28,18,10,11,7,11,32,34.4,21,20,1,19,7,35,9,0
ESP-La Liga,2425,Athletic Club,Nicolás Serrano,,,21.0,2003.0,1.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
ESP-La Liga,2425,Athletic Club,Oihan Sancet,,,24.0,2000.0,18.0,13,8,6,6,1,5,14,35.7,9,10,0,10,5,18,6,0
ESP-La Liga,2425,Athletic Club,Peio Canales,,,19.0,2005.0,2.9,3,2,0,1,2,1,1,100.0,0,3,0,3,2,5,2,0
ESP-La Liga,2425,Athletic Club,Unai Gómez,,,21.0,2003.0,14.3,12,8,3,7,2,4,7,57.1,3,13,1,12,2,14,15,1
ESP-La Liga,2425,Athletic Club,Unai Núñez,,,27.0,1997.0,7.2,10,5,7,3,0,4,7,57.1,3,4,4,0,17,27,46,1
ESP-La Liga,2425,Athletic Club,Unai Simón,,,27.0,1997.0,21.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,14,4
ESP-La Liga,2425,Athletic Club,Yeray Álvarez,,,29.0,1995.0,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1
ESP-La Liga,2425,Athletic Club,Yuri Berchiche,,,34.0,1990.0,22.7,33,21,19,11,3,19,33,57.6,14,25,5,20,27,60,72,3
ESP-La Liga,2425,Athletic Club,Álex Berenguer,,,29.0,1995.0,26.0,32,16,6,16,10,14,31,45.2,17,23,2,21,10,42,18,0
ESP-La Liga,2425,Athletic Club,Álvaro djaló,,,24.0,1999.0,7.3,8,5,3,2,3,1,3,33.3,2,4,0,4,1,9,4,0
ESP-La Liga,2425,Athletic Club,Óscar de Marcos,,,35.0,1989.0,17.4,32,15,15,13,4,21,37,56.8,16,17,1,16,16,48,35,0
ESP-La Liga,2425,Atlético Madrid,Adrian Niño,,,20.0,2004.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2425,Atlético Madrid,Alexander Sørloth,,,28.0,1995.0,17.4,9,5,2,5,2,3,6,50.0,3,6,1,5,1,10,28,0
ESP-La Liga,2425,Atlético Madrid,Antoine Griezmann,,,33.0,1991.0,27.4,30,17,13,13,4,7,29,24.1,22,20,1,19,6,36,23,1
ESP-La Liga,2425,Atlético Madrid,Axel Witsel,,,35.0,1989.0,9.5,16,12,4,10,2,12,14,85.7,2,15,8,7,11,27,34,1
ESP-La Liga,2425,Atlético Madrid,Clément Lenglet,,,29.0,1995.0,21.9,27,17,19,8,0,11,15,73.3,4,24,18,6,22,49,104,1
ESP-La Liga,2425,Atlético Madrid,Conor Gallagher,,,24.0,2000.0,18.1,45,32,16,19,10,22,49,44.9,27,23,5,18,20,65,23,0
ESP-La Liga,2425,Atlético Madrid,César Azpilicueta,,,34.0,1989.0,9.7,25,14,12,9,4,17,23,73.9,6,10,2,8,5,30,32,0
ESP-La Liga,2425,Atlético Madrid,Giuliano Simeone,,,21.0,2002.0,21.4,27,13,6,11,10,15,30,50.0,15,22,3,19,14,41,22,1
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,,,31.0,1993.0,36.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,2
ESP-La Liga,2425,Atlético Madrid,Javi Galán,,,29.0,1994.0,19.8,51,31,31,15,5,25,49,51.0,24,13,3,10,12,63,47,0
ESP-La Liga,2425,Atlético Madrid,José María Giménez,,,29.0,1995.0,22.2,26,16,18,8,0,17,28,60.7,11,29,19,10,27,53,115,2
ESP-La Liga,2425,Atlético Madrid,Juan Musso,,,30.0,1994.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2425,Atlético Madrid,Julián Álvarez,,,24.0,2000.0,27.9,25,17,5,11,9,8,30,26.7,22,14,0,14,2,27,12,1
ESP-La Liga,2425,Atlético Madrid,Koke,,,32.0,1992.0,21.4,46,23,18,22,6,21,43,48.8,22,24,2,22,20,66,29,2
ESP-La Liga,2425,Atlético Madrid,Marcos Llorente,,,29.0,1995.0,27.9,69,52,38,27,4,36,55,65.5,19,32,7,25,27,96,51,1
ESP-La Liga,2425,Atlético Madrid,Nahuel Molina,,,26.0,1998.0,17.7,44,19,21,21,2,31,56,55.4,25,16,3,13,13,57,53,0
ESP-La Liga,2425,Atlético Madrid,Pablo Barrios,,,21.0,2003.0,25.9,46,26,23,20,3,23,47,48.9,24,18,5,13,34,80,33,9
ESP-La Liga,2425,Atlético Madrid,Reinildo Mandava,,,30.0,1994.0,10.5,18,11,10,7,1,10,18,55.6,8,11,5,6,16,34,35,0
ESP-La Liga,2425,Atlético Madrid,Robin Le Normand,,,27.0,1996.0,23.9,27,18,23,4,0,12,20,60.0,8,20,9,11,10,37,120,1
ESP-La Liga,2425,Atlético Madrid,Rodrigo De Paul,,,30.0,1994.0,23.4,33,26,12,16,5,14,33,42.4,19,25,2,23,6,39,15,3
ESP-La Liga,2425,Atlético Madrid,Rodrigo Riquelme,,,24.0,2000.0,5.7,11,5,4,6,1,6,11,54.5,5,3,0,3,2,13,3,0
ESP-La Liga,2425,Atlético Madrid,Samuel Lino,,,24.0,1999.0,17.2,33,17,25,4,4,22,52,42.3,30,23,4,19,8,41,13,0
ESP-La Liga,2425,Atlético Madrid,Thomas Lemar,,,28.0,1995.0,0.9,2,1,1,1,0,2,4,50.0,2,0,0,0,0,2,1,0
ESP-La Liga,2425,Atlético Madrid,Ángel Correa,,,29.0,1995.0,8.9,9,3,4,1,4,5,15,33.3,10,10,0,10,4,13,8,0
ESP-La Liga,2425,Barcelona,Alejandro Balde,,,20.0,2003.0,25.4,18,10,10,5,3,11,17,64.7,6,24,5,19,5,23,27,0
ESP-La Liga,2425,Barcelona,Andreas Christensen,,,28.0,1996.0,2.8,6,4,4,1,1,4,4,100.0,0,2,0,2,4,10,9,0
ESP-La Liga,2425,Barcelona,Ansu Fati,,,21.0,2002.0,2.6,4,1,0,2,2,1,2,50.0,1,1,0,1,1,5,0,1
ESP-La Liga,2425,Barcelona,Dani Olmo,,,26.0,1998.0,13.5,16,11,8,5,3,4,14,28.6,10,6,3,3,3,19,11,1
ESP-La Liga,2425,Barcelona,Daniel Rodriguez,,,18.0,2005.0,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ESP-La Liga,2425,Barcelona,Eric García,,,23.0,2001.0,17.4,38,21,11,24,3,20,29,69.0,9,24,8,16,14,52,41,0
ESP-La Liga,2425,Barcelona,Fermin López,,,21.0,2003.0,13.9,19,15,3,9,7,8,32,25.0,24,11,0,11,5,24,3,0
ESP-La Liga,2425,Barcelona,Ferrán Torres,,,24.0,2000.0,12.3,8,4,2,3,3,3,8,37.5,5,7,1,6,4,12,5,0
ESP-La Liga,2425,Barcelona,Frenkie de Jong,,,27.0,1997.0,12.7,19,11,5,8,6,8,16,50.0,8,9,1,8,12,31,7,1
ESP-La Liga,2425,Barcelona,Gavi,,,19.0,2004.0,12.1,30,21,10,15,5,15,26,57.7,11,14,1,13,10,40,7,0
ESP-La Liga,2425,Barcelona,Gerard Martín,,,22.0,2002.0,11.5,22,10,10,7,5,11,16,68.8,5,16,2,14,13,35,27,0
ESP-La Liga,2425,Barcelona,Héctor Fort,,,17.0,2006.0,6.5,13,8,6,4,3,10,16,62.5,6,12,0,12,6,19,16,0
ESP-La Liga,2425,Barcelona,Iñaki Peña,,,25.0,1999.0,15.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,20,1
ESP-La Liga,2425,Barcelona,Iñigo Martínez,,,33.0,1991.0,27.7,25,14,20,5,0,16,22,72.7,6,18,7,11,18,43,108,1
ESP-La Liga,2425,Barcelona,Jules Koundé,,,25.0,1998.0,28.9,63,43,29,23,11,44,66,66.7,22,35,5,30,20,83,68,2
ESP-La Liga,2425,Barcelona,Lamine Yamal,,,17.0,2007.0,31.7,42,28,8,17,17,16,38,42.1,22,12,0,12,16,58,3,0
ESP-La Liga,2425,Barcelona,Marc Bernal,,,17.0,2007.0,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0
ESP-La Liga,2425,Barcelona,Marc Casado,,,20.0,2003.0,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,,,32.0,1992.0,7.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,2
ESP-La Liga,2425,Barcelona,Pablo Torre,,,21.0,2003.0,3.4,5,4,1,3,1,2,4,50.0,2,0,0,0,3,8,5,1
ESP-La Liga,2425,Barcelona,Pau Cubarsí,,,17.0,2007.0,29.1,34,23,21,10,3,19,30,63.3,11,12,9,3,16,50,86,1
ESP-La Liga,2425,Barcelona,Pau Victor,,,22.0,2001.0,3.5,3,1,0,2,1,0,3,0.0,3,6,1,5,2,5,5,0
ESP-La Liga,2425,Barcelona,Pedri,,,21.0,2002.0,32.0,61,34,14,38,9,24,70,34.3,46,45,3,42,26,87,21,1
ESP-La Liga,2425,Barcelona,Raphinha,,,27.0,1996.0,31.5,36,22,6,19,11,19,39,48.7,20,29,2,27,11,47,26,0
ESP-La Liga,2425,Barcelona,Robert Lewandowski,,,35.0,1988.0,29.6,10,5,1,5,4,5,11,45.5,6,14,2,12,3,13,26,0
ESP-La Liga,2425,Barcelona,Ronald Araújo,,,25.0,1999.0,8.4,12,9,6,5,1,4,5,80.0,1,6,4,2,9,21,25,0
ESP-La Liga,2425,Barcelona,Sergi Dominguez,,,19.0,2005.0,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,,,34.0,1990.0,15.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,20,1
ESP-La Liga,2425,Betis,Abde Ezzalzouli,,,22.0,2001.0,22.0,37,25,17,16,4,15,27,55.6,12,22,3,19,7,44,19,0
ESP-La Liga,2425,Betis,Adrián,,,37.0,1987.0,19.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3
ESP-La Liga,2425,Betis,Aitor Ruibal,,,28.0,1996.0,14.6,32,23,22,4,6,25,47,53.2,22,20,5,15,14,46,40,1
ESP-La Liga,2425,Betis,Antony,,,24.0,2000.0,15.1,25,11,6,9,10,8,22,36.4,14,12,1,11,10,35,9,1
ESP-La Liga,2425,Betis,Assane Diao,,,18.0,2005.0,3.1,5,3,1,3,1,4,9,44.4,5,3,0,3,0,5,3,0
ESP-La Liga,2425,Betis,Carlos Guirao,,,21.0,2003.0,1.2,5,3,1,4,0,4,6,66.7,2,1,1,0,3,8,2,0
ESP-La Liga,2425,Betis,Cucho,,,25.0,1999.0,12.7,15,10,2,5,8,6,11,54.5,5,13,1,12,7,22,4,0
ESP-La Liga,2425,Betis,Cédric Bakambu,,,33.0,1991.0,7.9,6,4,0,5,1,3,7,42.9,4,13,2,11,0,6,5,0
ESP-La Liga,2425,Betis,Diego Llorente,,,30.0,1993.0,28.0,36,20,23,12,1,25,38,65.8,13,29,20,9,43,79,154,1
ESP-La Liga,2425,Betis,Ezequiel Ávila,,,30.0,1994.0,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0
ESP-La Liga,2425,Betis,Fran Vieites,,,25.0,1999.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ESP-La Liga,2425,Betis,Giovani Lo Celso,,,28.0,1996.0,16.2,34,22,8,17,9,17,25,68.0,8,14,2,12,5,39,3,1
ESP-La Liga,2425,Betis,Héctor Bellerín,,,29.0,1995.0,6.4,13,7,7,4,2,10,17,58.8,7,5,3,2,6,19,21,0
ESP-La Liga,2425,Betis,Iker Losada,,,22.0,2001.0,3.7,10,7,2,4,4,5,10,50.0,5,2,0,2,3,13,2,0
ESP-La Liga,2425,Betis,Isco,,,32.0,1992.0,17.2,20,13,3,13,4,7,28,25.0,21,10,0,10,11,31,7,0
ESP-La Liga,2425,Betis,Jesus Rodríguez,,,18.0,2005.0,12.3,16,14,6,6,4,5,18,27.8,13,16,0,16,6,22,3,0
ESP-La Liga,2425,Betis,Johnny Cardoso,,,22.0,2001.0,23.8,55,31,12,35,8,20,52,38.5,32,27,12,15,48,103,64,1
ESP-La Liga,2425,Betis,Juanmi,,,31.0,1993.0,2.7,7,4,3,3,1,4,6,66.7,2,4,0,4,1,8,4,0
ESP-La Liga,2425,Betis,Marc Bartra,,,33.0,1991.0,23.3,33,19,20,13,0,15,26,57.7,11,41,25,16,33,66,148,0
ESP-La Liga,2425,Betis,Marc Roca,,,27.0,1996.0,10.1,20,14,10,9,1,9,17,52.9,8,17,5,12,14,34,14,2
ESP-La Liga,2425,Betis,Mateo Flores,,,20.0,2004.0,1.7,3,1,3,0,0,1,1,100.0,0,1,0,1,2,5,3,0
ESP-La Liga,2425,Betis,Nabil Fekir,,,31.0,1993.0,2.0,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0
ESP-La Liga,2425,Betis,Natan,,,23.0,2001.0,24.2,35,24,24,9,2,26,30,86.7,4,24,14,10,28,63,123,2
ESP-La Liga,2425,Betis,Nobel Mendy,,,19.0,2004.0,1.2,0,0,0,0,0,0,0,,0,2,0,2,4,4,10,1
ESP-La Liga,2425,Betis,Pablo Fornals,,,28.0,1996.0,20.3,21,13,12,6,3,10,30,33.3,20,24,4,20,23,44,15,1
ESP-La Liga,2425,Betis,Pablo Garcia,,,17.0,2006.0,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ESP-La Liga,2425,Betis,Ricardo Rodríguez,,,31.0,1992.0,14.2,28,15,16,5,7,17,26,65.4,9,10,1,9,8,36,51,0
ESP-La Liga,2425,Betis,Rodri,,,24.0,2000.0,1.3,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,1,1
ESP-La Liga,2425,Betis,Romain Perraud,,,26.0,1997.0,22.2,36,22,15,16,5,21,46,45.7,25,18,4,14,22,58,71,1
ESP-La Liga,2425,Betis,Rui Silva,,,30.0,1994.0,15.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0
ESP-La Liga,2425,Betis,Sergi Altimira,,,22.0,2001.0,21.9,61,37,17,38,6,36,60,60.0,24,28,1,27,24,85,43,3
ESP-La Liga,2425,Betis,Sergio Arribas,,,21.0,2003.0,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0
ESP-La Liga,2425,Betis,Vitor Roque,,,19.0,2005.0,13.7,11,6,1,6,4,1,5,20.0,4,5,0,5,7,18,4,0
ESP-La Liga,2425,Betis,William Carvalho,,,32.0,1992.0,5.4,9,6,3,6,0,4,6,66.7,2,6,2,4,3,12,6,0
ESP-La Liga,2425,Betis,Youssouf Sabaly,,,31.0,1993.0,17.6,40,25,21,15,4,24,32,75.0,8,21,4,17,13,53,40,0
ESP-La Liga,2425,Betis,Ángel Ortíz,,,20.0,2004.0,3.9,12,8,8,3,1,8,17,47.1,9,6,0,6,5,17,7,0
ESP-La Liga,2425,Celta Vigo,Alfon,,,25.0,1999.0,15.2,8,3,3,2,3,4,12,33.3,8,8,0,8,5,13,5,1
ESP-La Liga,2425,Celta Vigo,Anastasios Douvikas,,,24.0,1999.0,7.8,9,4,2,6,1,3,6,50.0,3,5,2,3,3,12,6,0
ESP-La Liga,2425,Celta Vigo,Borja Iglesias,,,31.0,1993.0,21.7,10,9,2,5,3,4,15,26.7,11,9,2,7,7,17,10,0
ESP-La Liga,2425,Celta Vigo,Carl Starfelt,,,29.0,1995.0,25.2,40,20,25,14,1,18,27,66.7,9,29,21,8,31,71,129,3
ESP-La Liga,2425,Celta Vigo,Carlos Dominguez,,,23.0,2001.0,13.1,23,11,14,9,0,15,21,71.4,6,16,11,5,13,36,80,1
ESP-La Liga,2425,Celta Vigo,Damián Rodríguez,,,21.0,2003.0,10.3,14,9,3,10,1,6,16,37.5,10,6,1,5,7,21,13,0
ESP-La Liga,2425,Celta Vigo,Fer López,,,,,7.5,9,5,1,6,2,2,13,15.4,11,10,0,10,2,11,7,0
ESP-La Liga,2425,Celta Vigo,Fran Beltrán,,,25.0,1999.0,26.9,50,35,24,21,5,24,56,42.9,32,26,6,20,26,76,34,4
ESP-La Liga,2425,Celta Vigo,Franco Cervi,,,30.0,1994.0,3.0,8,3,2,6,0,3,8,37.5,5,4,0,4,8,16,7,0
ESP-La Liga,2425,Celta Vigo,Hugo Sotelo,,,20.0,2003.0,13.9,28,17,8,10,10,13,31,41.9,18,9,1,8,5,33,9,1
ESP-La Liga,2425,Celta Vigo,Hugo Álvarez,,,21.0,2003.0,17.5,26,9,12,10,4,10,19,52.6,9,19,2,17,8,34,29,1
ESP-La Liga,2425,Celta Vigo,Iago Aspas,,,36.0,1987.0,19.4,13,8,4,5,4,8,20,40.0,12,18,1,17,8,21,5,0
ESP-La Liga,2425,Celta Vigo,Iker Losada,,,22.0,2001.0,4.0,3,3,0,1,2,1,5,20.0,4,4,1,3,1,4,8,0
ESP-La Liga,2425,Celta Vigo,Ilaix Moriba,,,21.0,2003.0,23.7,68,42,24,30,14,32,57,56.1,25,29,4,25,14,82,33,1
ESP-La Liga,2425,Celta Vigo,Iván Villar,,,27.0,1997.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
ESP-La Liga,2425,Celta Vigo,Jailson Siqueira,,,28.0,1995.0,6.8,13,11,9,3,1,9,11,81.8,2,6,4,2,9,22,28,1
ESP-La Liga,2425,Celta Vigo,Javi Rodríguez,,,21.0,2003.0,27.9,53,38,35,17,1,33,47,70.2,14,29,10,19,33,86,96,2
ESP-La Liga,2425,Celta Vigo,Javier Manquillo,,,30.0,1994.0,5.7,7,5,4,3,0,2,10,20.0,8,5,3,2,7,14,14,0
ESP-La Liga,2425,Celta Vigo,Jonathan Bamba,,,28.0,1996.0,9.0,12,7,4,6,2,5,12,41.7,7,6,0,6,5,17,6,0
ESP-La Liga,2425,Celta Vigo,Joseph Aidoo,,,28.0,1995.0,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
ESP-La Liga,2425,Celta Vigo,Luca de la Torre,,,26.0,1998.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2425,Celta Vigo,Marcos Alonso,,,33.0,1990.0,29.4,35,21,19,13,3,25,44,56.8,19,22,7,15,34,69,126,4
ESP-La Liga,2425,Celta Vigo,Mihailo Ristić,,,28.0,1995.0,4.8,7,7,4,2,1,4,6,66.7,2,1,0,1,2,9,18,0
ESP-La Liga,2425,Celta Vigo,Pablo Durán,,,23.0,2001.0,15.5,17,9,4,7,6,5,16,31.3,11,12,3,9,8,25,18,0
ESP-La Liga,2425,Celta Vigo,Sergio Carreira,,,23.0,2000.0,18.4,28,16,16,6,6,14,26,53.8,12,20,2,18,17,45,37,0
ESP-La Liga,2425,Celta Vigo,Tadeo Allende,,,25.0,1999.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,,,37.0,1987.0,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,21,3
ESP-La Liga,2425,Celta Vigo,Williot Swedberg,,,20.0,2004.0,15.0,23,16,9,10,4,13,20,65.0,7,12,1,11,3,26,10,1
ESP-La Liga,2425,Celta Vigo,Yoel Lago,,,20.0,2004.0,6.5,12,8,8,3,1,7,9,77.8,2,5,4,1,4,16,30,0
ESP-La Liga,2425,Celta Vigo,Óscar Mingueza,,,25.0,1999.0,30.3,38,24,21,12,5,26,69,37.7,43,35,5,30,22,60,46,7
ESP-La Liga,2425,Espanyol,Alejo Véliz,,,20.0,2003.0,12.5,1,1,0,1,0,1,7,14.3,6,12,2,10,4,5,23,1
ESP-La Liga,2425,Espanyol,Alex Král,,,26.0,1998.0,30.2,55,37,28,24,3,16,30,53.3,14,34,14,20,28,83,51,2
ESP-La Liga,2425,Espanyol,Antoniu,,,21.0,2002.0,11.4,21,10,9,8,4,9,21,42.9,12,14,2,12,8,29,11,1
ESP-La Liga,2425,Espanyol,Brian Oliván,,,30.0,1994.0,11.3,13,10,7,6,0,4,13,30.8,9,6,2,4,10,23,23,0
ESP-La Liga,2425,Espanyol,Carlos Romero,,,22.0,2001.0,28.4,73,47,49,16,8,45,82,54.9,37,50,15,35,30,103,102,1
ESP-La Liga,2425,Espanyol,Edu Expósito,,,27.0,1996.0,11.6,23,13,9,13,1,9,23,39.1,14,3,0,3,15,38,21,2
ESP-La Liga,2425,Espanyol,Fernando Calero,,,28.0,1995.0,7.9,18,10,13,4,1,8,12,66.7,4,16,9,7,16,34,50,1
ESP-La Liga,2425,Espanyol,Irvin Cardona,,,26.0,1997.0,6.7,8,5,2,4,2,6,16,37.5,10,5,1,4,4,12,10,0
ESP-La Liga,2425,Espanyol,Javi Puado,,,26.0,1998.0,33.0,22,17,14,4,4,8,20,40.0,12,18,3,15,5,27,19,0
ESP-La Liga,2425,Espanyol,Joan García,,,23.0,2001.0,38.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,18,4
ESP-La Liga,2425,Espanyol,Jofre,,,23.0,2001.0,24.1,22,16,14,5,3,13,23,56.5,10,13,0,13,15,37,29,0
ESP-La Liga,2425,Espanyol,José Gragera,,,23.0,2000.0,6.3,25,16,11,14,0,9,17,52.9,8,9,1,8,5,30,13,0
ESP-La Liga,2425,Espanyol,Justin Smith,,,21.0,2003.0,2.3,9,3,3,6,0,4,6,66.7,2,5,1,4,4,13,3,0
ESP-La Liga,2425,Espanyol,Leandro Cabrera,,,33.0,1991.0,31.9,40,23,29,8,3,19,33,57.6,14,35,25,10,30,70,199,2
ESP-La Liga,2425,Espanyol,Marash Kumbulla,,,24.0,2000.0,33.0,51,26,35,14,2,24,41,58.5,17,48,35,13,34,85,224,2
ESP-La Liga,2425,Espanyol,Naci Ünüvar,,,21.0,2003.0,0.3,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
ESP-La Liga,2425,Espanyol,Omar El Hilali,,,20.0,2003.0,35.0,111,79,81,24,6,64,95,67.4,31,53,13,40,46,157,145,2
ESP-La Liga,2425,Espanyol,Pere Milla,,,31.0,1992.0,5.1,6,2,5,0,1,1,18,5.6,17,10,2,8,3,9,5,0
ESP-La Liga,2425,Espanyol,Pol Lozano,,,24.0,1999.0,21.6,53,34,23,25,5,25,58,43.1,33,32,6,26,22,75,31,0
ESP-La Liga,2425,Espanyol,Rafael Bauza,,,19.0,2005.0,2.0,5,3,3,1,1,4,7,57.1,3,3,1,2,0,5,5,0
ESP-La Liga,2425,Espanyol,Roberto Férnandez,,,22.0,2002.0,16.6,4,4,2,1,1,0,5,0.0,5,9,1,8,3,7,26,0
ESP-La Liga,2425,Espanyol,Roger Hinojo,,,19.0,2005.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ESP-La Liga,2425,Espanyol,Sergi Gómez,,,32.0,1992.0,7.4,8,5,7,1,0,2,3,66.7,1,12,8,4,7,15,38,0
ESP-La Liga,2425,Espanyol,Urko González,,,23.0,2001.0,15.3,46,28,24,21,1,28,44,63.6,16,27,12,15,8,54,39,1
ESP-La Liga,2425,Espanyol,Walid Cheddira,,,26.0,1998.0,7.1,5,0,1,1,3,0,1,0.0,1,4,0,4,1,6,6,0
ESP-La Liga,2425,Espanyol,Álvaro Aguado,,,28.0,1996.0,4.9,5,2,3,2,0,3,9,33.3,6,7,1,6,4,9,5,1
ESP-La Liga,2425,Espanyol,Álvaro Tejero,,,28.0,1996.0,13.8,14,4,7,6,1,7,23,30.4,16,9,1,8,13,27,34,1
ESP-La Liga,2425,Getafe,Abdoulaye Keita,,,21.0,2002.0,1.1,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,3,0
ESP-La Liga,2425,Getafe,Alberto Risco,,,18.0,2005.0,0.8,4,4,2,0,2,1,6,16.7,5,2,0,2,0,4,0,0
ESP-La Liga,2425,Getafe,Alex Sola,,,25.0,1999.0,11.4,21,14,9,12,0,9,25,36.0,16,8,0,8,7,28,11,1
ESP-La Liga,2425,Getafe,Allan Nyom,,,36.0,1988.0,9.9,18,11,7,9,2,15,17,88.2,2,4,2,2,4,22,23,0
ESP-La Liga,2425,Getafe,Bertuğ Yıldırım,,,22.0,2002.0,12.0,10,5,0,7,3,2,7,28.6,5,13,2,11,1,11,16,0
ESP-La Liga,2425,Getafe,Borja Mayoral,,,27.0,1997.0,12.4,5,4,2,2,1,3,9,33.3,6,4,0,4,2,7,6,0
ESP-La Liga,2425,Getafe,Carles Aleñá,,,26.0,1998.0,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0
ESP-La Liga,2425,Getafe,Carles Pérez,,,26.0,1998.0,15.9,33,23,11,14,8,21,48,43.8,27,19,2,17,6,39,22,0
ESP-La Liga,2425,Getafe,Christantus Uche,,,21.0,2003.0,27.6,35,21,8,19,8,9,20,45.0,11,20,2,18,10,45,19,0
ESP-La Liga,2425,Getafe,Coba da Costa,,,22.0,2002.0,11.2,29,13,9,16,4,13,26,50.0,13,24,0,24,8,37,10,0
ESP-La Liga,2425,Getafe,David Argüelles,,,22.0,2002.0,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
ESP-La Liga,2425,Getafe,David Soria,,,31.0,1993.0,38.0,4,4,4,0,0,4,5,80.0,1,0,0,0,1,5,21,3
ESP-La Liga,2425,Getafe,Diego Rico,,,31.0,1993.0,31.3,81,49,47,29,5,47,85,55.3,38,41,3,38,34,115,102,2
ESP-La Liga,2425,Getafe,Djené,,,32.0,1991.0,28.3,25,13,12,11,2,12,32,37.5,20,18,8,10,21,46,107,3
ESP-La Liga,2425,Getafe,Domingos Duarte,,,29.0,1995.0,20.7,28,15,22,4,2,17,21,81.0,4,28,16,12,18,46,152,1
ESP-La Liga,2425,Getafe,Gorka Rivera Alonso,,,19.0,2004.0,0.2,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0
ESP-La Liga,2425,Getafe,Iglesias,,,26.0,1998.0,32.1,81,47,42,33,6,46,90,51.1,44,47,8,39,50,131,133,1
ESP-La Liga,2425,Getafe,Ismael Bekhoucha,,,19.0,2004.0,0.8,1,1,1,0,0,1,2,50.0,1,2,1,1,2,3,2,0
ESP-La Liga,2425,Getafe,Jesús Santiago,,,20.0,2004.0,4.1,14,8,6,8,0,5,10,50.0,5,6,2,4,1,15,3,0
ESP-La Liga,2425,Getafe,John Joe,,,20.0,2003.0,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
