league,season,team,player,nationality,position,age,birth_year,90s,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,challenge_tackles,challenges_attempted,tackle_success_rate,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors
ENG-Premier League,2425,Aston Villa,Leon Bailey,,,26.0,1997.0,12.7,7,5,2,3,2,3,11,27.3,8,6,0,6,3,10,12,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,,,31.0,1993.0,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1
ENG-Premier League,2425,Aston Villa,Marco Asensio,,,28.0,1996.0,8.3,7,5,0,7,0,3,9,33.3,6,7,1,6,2,9,3,0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,,,26.0,1997.0,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0
ENG-Premier League,2425,Aston Villa,Matty Cash,,,26.0,1997.0,23.0,56,32,29,21,6,31,43,72.1,12,22,8,14,23,79,70,2
ENG-Premier League,2425,Aston Villa,Morgan Rogers,,,22.0,2002.0,34.6,43,22,15,15,13,24,47,51.1,23,26,7,19,6,49,20,2
ENG-Premier League,2425,Aston Villa,Ollie Watkins,,,28.0,1995.0,28.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2
ENG-Premier League,2425,Aston Villa,Pau Torres,,,27.0,1997.0,22.4,21,15,11,8,2,10,17,58.8,7,16,11,5,10,31,75,2
ENG-Premier League,2425,Aston Villa,Robin Olsen,,,34.0,1990.0,2.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
ENG-Premier League,2425,Aston Villa,Ross Barkley,,,30.0,1993.0,6.5,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,,,31.0,1993.0,12.4,7,6,6,1,0,2,2,100.0,0,13,11,2,7,14,61,1
ENG-Premier League,2425,Aston Villa,Youri Tielemans,,,27.0,1997.0,33.6,84,58,32,44,8,40,73,54.8,33,38,16,22,23,107,47,4
ENG-Premier League,2425,Bournemouth,Adam Smith,,,33.0,1991.0,17.7,24,12,11,7,6,14,27,51.9,13,13,5,8,15,39,49,1
ENG-Premier League,2425,Bournemouth,Alex Scott,,,20.0,2003.0,8.4,27,14,11,8,8,19,42,45.2,23,17,4,13,10,37,15,0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,,,24.0,2000.0,35.6,55,35,17,25,13,16,43,37.2,27,67,9,58,11,66,39,2
ENG-Premier League,2425,Bournemouth,Ben Winterburn,,,19.0,2004.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,,,22.0,2002.0,22.3,35,26,14,11,10,17,41,41.5,24,36,10,26,11,46,51,0
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,,,20.0,2003.0,1.3,5,3,3,2,0,4,6,66.7,2,2,1,1,1,6,1,0
ENG-Premier League,2425,Bournemouth,David Brooks,,,27.0,1997.0,10.7,14,6,2,8,4,2,16,12.5,14,18,2,16,5,19,9,1
ENG-Premier League,2425,Bournemouth,Dean Huijsen,,,19.0,2005.0,27.0,36,26,19,16,1,18,29,62.1,11,40,29,11,51,87,198,4
ENG-Premier League,2425,Bournemouth,Enes Ünal,,,27.0,1997.0,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0
ENG-Premier League,2425,Bournemouth,Evanilson,,,24.0,1999.0,25.8,16,10,6,5,5,8,12,66.7,4,11,2,9,1,17,21,0
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,,,21.0,2002.0,34.5,52,36,31,20,1,34,50,68.0,16,33,20,13,41,93,182,2
ENG-Premier League,2425,Bournemouth,James Hill,,,22.0,2002.0,5.0,15,8,6,6,3,3,11,27.3,8,5,0,5,9,24,31,0
ENG-Premier League,2425,Bournemouth,Julian Araujo,,,22.0,2001.0,5.5,10,5,4,6,0,5,12,41.7,7,3,0,3,6,16,18,0
ENG-Premier League,2425,Bournemouth,Julio Soler,,,19.0,2005.0,0.1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,,,25.0,1999.0,26.0,23,11,4,11,8,4,22,18.2,18,24,0,24,14,37,24,1
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,,,29.0,1994.0,31.0,1,0,1,0,0,0,2,0.0,2,2,0,2,0,1,15,3
ENG-Premier League,2425,Bournemouth,Lewis Cook,,,27.0,1997.0,33.1,81,42,41,36,4,37,67,55.2,30,30,11,19,41,122,70,0
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,,,25.0,1999.0,2.6,7,2,3,2,2,0,4,0.0,4,3,0,3,1,8,8,0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,,,27.0,1997.0,12.3,39,21,23,14,2,14,31,45.2,17,16,7,9,14,53,58,0
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,,,25.0,1999.0,21.5,43,24,15,19,9,10,27,37.0,17,16,3,13,5,48,11,0
ENG-Premier League,2425,Bournemouth,Mark Travers,,,25.0,1999.0,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
ENG-Premier League,2425,Bournemouth,Max Aarons,,,24.0,2000.0,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,,,20.0,2003.0,37.1,52,26,25,20,7,24,38,63.2,14,38,11,27,45,97,106,4
ENG-Premier League,2425,Bournemouth,Neto,,,35.0,1989.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
ENG-Premier League,2425,Bournemouth,Philip Billing,,,28.0,1996.0,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,,,18.0,2006.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Ryan Christie,,,29.0,1995.0,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3
ENG-Premier League,2425,Bournemouth,Tyler Adams,,,25.0,1999.0,21.8,83,50,26,49,8,39,72,54.2,33,33,10,23,32,115,42,0
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,,,19.0,2005.0,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Brentford,Ben Mee,,,34.0,1989.0,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,,,24.0,1999.0,37.9,49,31,18,15,16,21,35,60.0,14,26,3,23,14,63,55,1
ENG-Premier League,2425,Brentford,Christian Nørgaard,,,30.0,1994.0,31.3,79,49,37,35,7,48,81,59.3,33,52,20,32,49,128,70,1
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,,,23.0,2001.0,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0
ENG-Premier League,2425,Brentford,Ethan Pinnock,,,31.0,1993.0,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4
ENG-Premier League,2425,Brentford,Fabio Carvalho,,,21.0,2002.0,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0
ENG-Premier League,2425,Brentford,Frank Onyeka,,,26.0,1998.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Gustavo Nunes,,,18.0,2005.0,0.1,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,2,0
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,,,22.0,2001.0,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,,,18.0,2006.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
