league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct
ENG-Premier League,2425,Aston Villa,Leon Bailey,,,26.0,1997.0,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40.0
ENG-Premier League,2425,Aston Villa,Lucas Digne,,,31.0,1993.0,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9
ENG-Premier League,2425,Aston Villa,Marco Asensio,,,28.0,1996.0,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0.0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,,,26.0,1997.0,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1
ENG-Premier League,2425,Aston Villa,Matty Cash,,,26.0,1997.0,23.0,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50.0
ENG-Premier League,2425,Aston Villa,Morgan Rogers,,,22.0,2002.0,34.6,10,0,0,50,51,2,27,6,22,1,0,0,119,13,52,20.0
ENG-Premier League,2425,Aston Villa,Ollie Watkins,,,28.0,1995.0,28.9,2,0,0,29,33,16,7,8,7,2,0,0,43,52,71,42.3
ENG-Premier League,2425,Aston Villa,Pau Torres,,,27.0,1997.0,22.4,2,0,0,8,7,0,3,10,15,0,0,0,62,18,29,38.3
ENG-Premier League,2425,Aston Villa,Robin Olsen,,,34.0,1990.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
ENG-Premier League,2425,Aston Villa,Ross Barkley,,,30.0,1993.0,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60.0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,,,31.0,1993.0,12.4,1,0,0,4,11,0,1,7,6,0,0,0,38,27,22,55.1
ENG-Premier League,2425,Aston Villa,Youri Tielemans,,,27.0,1997.0,33.6,4,0,0,41,56,0,119,23,58,0,0,0,145,22,18,55.0
ENG-Premier League,2425,Bournemouth,Adam Smith,,,33.0,1991.0,17.7,7,0,0,19,12,0,33,15,12,0,0,0,50,14,15,48.3
ENG-Premier League,2425,Bournemouth,Alex Scott,,,20.0,2003.0,8.4,3,0,0,17,26,0,7,10,14,0,0,0,52,7,7,50.0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,,,24.0,2000.0,35.6,9,0,0,73,37,15,59,11,35,1,0,0,158,66,76,46.5
ENG-Premier League,2425,Bournemouth,Ben Winterburn,,,19.0,2004.0,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,,,22.0,2002.0,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,,,20.0,2003.0,1.3,1,0,0,2,4,0,3,1,3,0,0,0,10,2,10,16.7
ENG-Premier League,2425,Bournemouth,David Brooks,,,27.0,1997.0,10.7,3,0,0,11,18,0,52,5,6,0,0,0,50,7,10,41.2
ENG-Premier League,2425,Bournemouth,Dean Huijsen,,,19.0,2005.0,27.0,10,0,0,31,10,2,12,51,26,0,0,0,105,68,44,60.7
ENG-Premier League,2425,Bournemouth,Enes Ünal,,,27.0,1997.0,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2
ENG-Premier League,2425,Bournemouth,Evanilson,,,24.0,1999.0,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,,,21.0,2002.0,34.5,4,1,0,20,7,0,6,41,36,0,0,0,157,77,44,63.6
ENG-Premier League,2425,Bournemouth,James Hill,,,22.0,2002.0,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8
ENG-Premier League,2425,Bournemouth,Julian Araujo,,,22.0,2001.0,5.5,2,0,0,7,2,1,9,6,5,0,0,0,29,3,9,25.0
ENG-Premier League,2425,Bournemouth,Julio Soler,,,19.0,2005.0,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,
ENG-Premier League,2425,Bournemouth,Justin Kluivert,,,25.0,1999.0,26.0,8,0,0,47,33,5,85,14,11,1,0,0,78,8,28,22.2
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,,,29.0,1994.0,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5
ENG-Premier League,2425,Bournemouth,Lewis Cook,,,27.0,1997.0,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,,,25.0,1999.0,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,,,27.0,1997.0,12.3,5,0,0,22,8,0,11,14,21,0,0,0,71,32,29,52.5
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,,,25.0,1999.0,21.5,6,0,0,34,28,4,108,5,24,0,0,0,119,26,33,44.1
ENG-Premier League,2425,Bournemouth,Mark Travers,,,25.0,1999.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
ENG-Premier League,2425,Bournemouth,Max Aarons,,,24.0,2000.0,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,
ENG-Premier League,2425,Bournemouth,Milos Kerkez,,,20.0,2003.0,37.1,4,0,0,30,50,3,142,45,26,0,0,0,169,28,49,36.4
