,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,0,,1,1,0.0,14.0,0,,,1,0,0.0,0,0.0,
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100.0,67.4,33,0,0.0,0,0.0,9.8
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,39,9,2,2,2,39.0,0.28,2.0,0.06,297,724,41.0,735,70,71.8,47.7,229,85.6,60.0,453,30,6.6,29,0.93,12.7
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,7,1,0,2,0,5.4,0.37,-1.6,-0.29,46,105,43.8,126,12,55.6,43.0,36,97.2,67.5,66,6,9.1,2,0.37,8.9
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,21.0,14,1,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,533,91,36.2,34.4,117,77.8,58.3,249,19,7.6,28,1.33,15.5
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36.0,30,5,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,670,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14.0
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2.0,0,0,0,0,0,0.1,0.05,0.1,0.05,1,9,11.1,46,11,15.2,24.0,13,15.4,25.2,23,2,8.7,0,0.0,11.2
