,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2425,Alavés,Facundo Garcés,MAS,DF,24,1999,7.5,280,44,122,137,21,13,280,0,0,,0,,114,484,187,3,0,0,2,0,129,3
ESP-La Liga,2425,Alavés,Hugo Novoa,ESP,"DF,MF",21,2003,2.6,100,8,27,42,33,1,100,10,3,30.0,6,60.0,50,484,191,7,3,0,6,2,47,10
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,173,144,173,0,0,0,173,1,1,100.0,0,0.0,88,405,281,0,0,0,0,0,76,0
ESP-La Liga,2425,Alavés,Joan Jordán,ESP,MF,30,1994,15.7,1038,26,130,598,321,11,1034,7,6,85.7,1,14.3,481,1625,845,7,19,1,16,7,620,35
ESP-La Liga,2425,Alavés,Jon Guridi,ESP,"MF,FW",29,1995,23.1,940,23,122,493,335,60,939,26,8,30.8,16,61.5,471,2479,1129,27,31,4,38,17,587,90
ESP-La Liga,2425,Alavés,Kiké,ESP,FW,34,1989,28.2,894,24,70,404,433,120,891,35,13,37.1,20,57.1,548,2136,739,25,18,10,98,42,719,158
ESP-La Liga,2425,Alavés,Luis Rioja,ESP,FW,30,1993,0.3,15,0,2,4,10,2,15,0,0,,0,,8,99,71,4,1,2,0,0,10,3
ESP-La Liga,2425,Alavés,Luka Romero,ARG,"FW,MF",19,2004,2.2,69,0,5,28,37,5,68,3,1,33.3,1,33.3,42,256,69,3,1,1,5,7,45,12
ESP-La Liga,2425,Alavés,Manu Sánchez,ESP,DF,23,2000,29.3,1477,71,431,615,443,29,1477,37,8,21.6,24,64.9,562,3141,1592,47,27,5,39,20,627,97
ESP-La Liga,2425,Alavés,Moussa Diarra,MLI,DF,23,2000,20.7,1012,56,383,495,139,9,1012,14,7,50.0,5,35.7,499,2075,1080,12,10,2,17,15,584,31
ESP-La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,28,1996,32.5,1835,105,575,808,466,48,1835,35,17,48.6,13,37.1,757,3858,2004,42,41,5,36,15,829,98
ESP-La Liga,2425,Alavés,Pau Cabanes,ESP,"MF,FW",19,2005,2.1,125,1,16,49,63,7,125,13,4,30.8,7,53.8,83,493,309,15,9,3,10,3,82,15
ESP-La Liga,2425,Alavés,Pica,ESP,DF,22,2002,5.5,263,33,135,120,8,5,263,1,1,100.0,0,0.0,124,728,496,3,2,0,2,1,133,0
ESP-La Liga,2425,Alavés,Santiago Mouriño,URU,DF,22,2002,20.5,952,116,465,442,57,14,952,11,4,36.4,5,45.5,442,2624,1513,14,15,0,7,11,440,1
ESP-La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",30,1993,7.8,304,6,39,135,135,28,304,18,6,33.3,9,50.0,179,938,377,9,5,3,20,7,194,41
ESP-La Liga,2425,Alavés,Tomás Conechny,ARG,"FW,MF",26,1998,9.4,457,10,66,197,196,34,457,13,6,46.2,7,53.8,249,1056,413,14,18,2,31,9,307,61
ESP-La Liga,2425,Alavés,Toni Martínez,ESP,FW,27,1997,11.2,401,15,34,171,203,70,401,15,9,60.0,5,33.3,162,801,270,13,9,7,41,11,272,57
ESP-La Liga,2425,Athletic Club,Adama Boiro,ESP,"DF,FW",22,2002,12.2,627,25,158,309,165,14,627,26,8,30.8,16,61.5,288,1675,890,25,21,5,23,15,332,36
ESP-La Liga,2425,Athletic Club,Adu Ares,ESP,FW,22,2001,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2
ESP-La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,FW,18,2005,0.6,25,1,2,11,13,0,25,4,1,25.0,3,75.0,15,106,59,2,2,0,0,1,18,3
ESP-La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,24,2000,20.1,1154,127,623,519,15,11,1154,1,0,0.0,1,100.0,596,2995,1615,4,3,0,7,1,708,2
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,134,110,131,3,0,0,134,0,0,,0,,69,383,239,0,0,0,0,0,46,0
ESP-La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,34,1989,3.0,237,12,37,151,49,6,236,5,2,40.0,1,20.0,116,431,196,2,4,0,3,2,169,5
ESP-La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,27,1996,16.5,1084,43,292,547,252,13,1084,14,7,50.0,7,50.0,432,1605,691,17,18,3,18,14,554,59
ESP-La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,23,2001,19.1,991,33,190,628,184,24,991,30,15,50.0,12,40.0,480,2312,1081,20,19,1,25,20,604,32
ESP-La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999,29.0,2085,147,901,1119,79,26,2085,17,10,58.8,6,35.3,1169,6581,4326,36,17,1,19,13,1325,6
ESP-La Liga,2425,Athletic Club,Endika Buján,ESP,FW,21,2003,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0
ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,27,1996,20.4,643,23,67,342,240,78,643,20,11,55.0,9,45.0,286,1120,375,8,12,2,48,20,415,64
ESP-La Liga,2425,Athletic Club,Iñaki Williams,GHA,FW,30,1994,29.5,1169,35,113,392,679,138,1169,101,33,32.7,56,55.4,739,4233,2259,107,39,49,65,44,898,302
ESP-La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,31,1993,8.6,521,32,157,258,108,4,521,14,6,42.9,8,57.1,245,1062,515,13,6,1,5,5,268,21
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30,1993,16.4,978,21,153,618,222,8,978,23,16,69.6,5,21.7,524,2660,1266,27,14,3,17,16,672,39
ESP-La Liga,2425,Athletic Club,Javi Martón,ESP,"FW,MF",25,1999,0.6,14,0,1,8,5,0,14,0,0,,0,,6,8,1,0,0,0,5,0,8,3
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,MAR,FW,23,2001,8.4,282,2,12,128,145,44,282,30,14,46.7,13,43.3,198,1096,512,21,7,9,41,18,237,67
ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,20,2003,24.9,1418,43,276,847,306,12,1418,42,20,47.6,16,38.1,706,2968,1261,14,25,1,35,23,848,31
ESP-La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,31,1993,11.0,653,30,143,398,119,11,652,12,7,58.3,5,41.7,291,1242,591,10,13,3,11,9,400,22
ESP-La Liga,2425,Athletic Club,Nico Williams,ESP,FW,22,2002,22.2,1064,8,84,333,671,113,1064,187,68,36.4,104,55.6,697,5556,2949,118,58,58,62,46,767,254
ESP-La Liga,2425,Athletic Club,Nicolás Serrano,ESP,FW,21,2003,1.2,68,1,7,19,42,4,68,9,3,33.3,6,66.7,27,163,65,2,1,1,1,3,44,18
ESP-La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,24,2000,18.0,767,9,61,378,345,68,764,50,24,48.0,21,42.0,464,2996,1662,52,39,8,56,45,610,115
ESP-La Liga,2425,Athletic Club,Peio Canales,ESP,"MF,FW",19,2005,2.9,140,3,14,63,64,3,140,11,5,45.5,5,45.5,74,472,221,6,4,2,4,3,86,11
ESP-La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003,14.3,439,20,63,215,168,21,439,29,12,41.4,12,41.4,235,1270,617,19,17,3,23,21,271,49
ESP-La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,27,1997,7.2,415,55,199,216,3,2,415,3,2,66.7,0,0.0,225,1108,554,2,0,0,6,0,245,0
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,21.0,704,516,698,7,0,0,704,0,0,,0,,397,2064,1133,0,0,0,1,1,328,0
ESP-La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,29,1995,19.8,1425,100,554,825,55,14,1425,9,6,66.7,3,33.3,792,4934,3165,19,8,0,11,7,903,0
ESP-La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,34,1990,22.7,1631,74,454,884,305,16,1631,16,6,37.5,8,50.0,775,3774,2158,43,29,3,18,2,926,66
ESP-La Liga,2425,Athletic Club,Álex Berenguer,ESP,"FW,MF",29,1995,26.0,1250,18,98,462,713,86,1249,82,33,40.2,41,50.0,643,4310,2050,65,40,27,52,50,809,216
ESP-La Liga,2425,Athletic Club,Álvaro djaló,ESP,FW,24,1999,7.3,230,3,26,77,134,25,230,36,14,38.9,17,47.2,151,986,562,22,23,6,29,13,177,60
ESP-La Liga,2425,Athletic Club,Óscar de Marcos,ESP,DF,35,1989,17.4,1158,36,303,573,288,16,1158,17,4,23.5,11,64.7,478,2003,1036,26,24,2,11,7,627,78
ESP-La Liga,2425,Atlético Madrid,Adrian Niño,ESP,FW,20,2004,0.1,2,0,0,0,2,2,2,0,0,,0,,1,4,0,0,0,0,0,0,1,1
ESP-La Liga,2425,Atlético Madrid,Alexander Sørloth,NOR,FW,28,1995,17.4,602,29,58,276,276,116,601,37,14,37.8,22,59.5,323,1713,787,32,13,15,63,32,454,81
ESP-La Liga,2425,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",33,1991,27.4,1678,28,216,748,729,93,1676,35,15,42.9,18,51.4,969,4095,2040,46,56,6,41,20,1255,177
ESP-La Liga,2425,Atlético Madrid,Axel Witsel,BEL,DF,35,1989,9.5,645,82,325,306,16,4,645,2,1,50.0,1,50.0,405,2146,1194,2,3,1,9,0,418,1
ESP-La Liga,2425,Atlético Madrid,Clément Lenglet,FRA,DF,29,1995,21.9,1583,229,834,695,58,17,1583,3,3,100.0,0,0.0,1065,5692,3593,16,16,0,8,3,1162,1
ESP-La Liga,2425,Atlético Madrid,Conor Gallagher,ENG,MF,24,2000,18.1,1062,35,232,555,287,38,1062,42,17,40.5,18,42.9,674,2788,1104,24,23,7,25,23,755,64
ESP-La Liga,2425,Atlético Madrid,César Azpilicueta,ESP,DF,34,1989,9.7,759,41,232,393,137,11,759,2,1,50.0,1,50.0,432,1914,1318,13,18,1,8,1,516,20
ESP-La Liga,2425,Atlético Madrid,Giuliano Simeone,ARG,MF,21,2002,21.4,1034,20,173,416,461,87,1034,68,30,44.1,33,48.5,652,3555,1783,69,42,24,55,20,748,189
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36.0,1005,934,1004,1,0,0,1005,2,2,100.0,0,0.0,540,2652,1581,0,0,0,1,0,356,0
ESP-La Liga,2425,Atlético Madrid,Javi Galán,ESP,DF,29,1994,19.8,1270,51,406,529,344,16,1270,78,28,35.9,38,48.7,739,3917,2315,52,34,6,22,15,779,107
ESP-La Liga,2425,Atlético Madrid,José María Giménez,URU,DF,29,1995,22.2,1582,272,822,735,30,11,1582,3,2,66.7,1,33.3,1006,4430,2336,3,2,0,6,3,1094,1
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2.0,61,58,61,0,0,0,61,0,0,,0,,42,224,157,0,0,0,0,0,31,0
ESP-La Liga,2425,Atlético Madrid,Julián Álvarez,ARG,FW,24,2000,27.9,1238,9,105,501,649,116,1234,65,34,52.3,28,43.1,776,4621,2198,79,51,29,62,40,892,162
ESP-La Liga,2425,Atlético Madrid,Koke,ESP,MF,32,1992,21.4,1829,52,455,1075,313,10,1829,22,9,40.9,11,50.0,1138,4782,2255,22,21,0,15,8,1339,18
ESP-La Liga,2425,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",29,1995,27.9,1808,78,546,791,487,58,1808,30,14,46.7,13,43.3,1116,5470,3070,82,51,15,29,9,1217,151
ESP-La Liga,2425,Atlético Madrid,Nahuel Molina,ARG,DF,26,1998,17.7,1366,59,420,606,349,24,1366,30,15,50.0,13,43.3,782,3387,1971,35,28,4,21,3,883,96
ESP-La Liga,2425,Atlético Madrid,Pablo Barrios,ESP,MF,21,2003,25.9,1784,51,415,1001,378,29,1784,42,25,59.5,14,33.3,1119,5204,2315,29,35,6,49,23,1308,69
ESP-La Liga,2425,Atlético Madrid,Reinildo Mandava,MOZ,DF,30,1994,10.5,717,56,290,326,103,8,717,18,4,22.2,9,50.0,421,1705,853,14,15,2,8,4,459,15
ESP-La Liga,2425,Atlético Madrid,Robin Le Normand,ESP,DF,27,1996,23.9,1523,193,805,677,44,19,1523,4,2,50.0,2,50.0,1001,4140,2052,11,7,0,14,6,1100,6
ESP-La Liga,2425,Atlético Madrid,Rodrigo De Paul,ARG,MF,30,1994,23.4,1950,27,308,1144,517,20,1950,35,14,40.0,15,42.9,1373,7726,4286,85,66,3,33,24,1544,64
ESP-La Liga,2425,Atlético Madrid,Rodrigo Riquelme,ESP,"MF,DF",24,2000,5.7,354,6,41,136,185,23,354,24,6,25.0,16,66.7,246,1708,1001,43,25,10,11,6,259,62
ESP-La Liga,2425,Atlético Madrid,Samuel Lino,BRA,"MF,DF",24,1999,17.2,1038,21,203,420,429,75,1038,56,27,48.2,26,46.4,678,4000,2274,72,49,25,31,18,772,179
ESP-La Liga,2425,Atlético Madrid,Thomas Lemar,FRA,MF,28,1995,0.9,78,0,8,33,37,1,78,3,0,0.0,2,66.7,55,207,54,1,4,0,1,1,62,4
ESP-La Liga,2425,Atlético Madrid,Ángel Correa,ARG,"FW,MF",29,1995,8.9,419,4,54,129,243,82,419,38,13,34.2,24,63.2,276,1444,768,30,20,13,29,16,303,85
ESP-La Liga,2425,Barcelona,Alejandro Balde,ESP,DF,20,2003,25.4,1721,38,310,843,596,47,1721,110,46,41.8,44,40.0,1075,6639,3463,107,68,16,44,27,1245,246
ESP-La Liga,2425,Barcelona,Andreas Christensen,DEN,DF,28,1996,2.8,246,14,75,160,12,1,246,0,0,,0,,163,791,362,1,3,0,1,0,181,1
ESP-La Liga,2425,Barcelona,Ansu Fati,ESP,FW,21,2002,2.6,170,0,8,59,105,22,170,11,5,45.5,5,45.5,107,586,234,7,7,4,10,4,134,32
ESP-La Liga,2425,Barcelona,Dani Olmo,ESP,"MF,FW",26,1998,13.5,797,18,64,351,390,77,795,45,23,51.1,17,37.8,505,2477,1363,33,35,7,35,26,662,97
ESP-La Liga,2425,Barcelona,Daniel Rodriguez,ESP,FW,18,2005,0.4,25,0,0,2,23,3,25,1,0,0.0,0,0.0,20,154,110,4,0,2,3,0,23,9
ESP-La Liga,2425,Barcelona,Eric García,ESP,"DF,MF",23,2001,17.4,1517,66,369,927,225,25,1517,12,5,41.7,5,41.7,852,3500,1877,18,12,1,17,5,1125,22
ESP-La Liga,2425,Barcelona,Fermin López,ESP,"MF,FW",21,2003,13.9,858,5,58,366,441,59,858,55,25,45.5,26,47.3,490,2516,1137,31,22,12,36,16,649,108
ESP-La Liga,2425,Barcelona,Ferrán Torres,ESP,"FW,MF",24,2000,12.3,498,3,30,153,317,81,498,21,11,52.4,8,38.1,291,1348,566,23,14,13,28,13,397,98
ESP-La Liga,2425,Barcelona,Frenkie de Jong,NED,MF,27,1997,12.7,1226,15,137,821,271,13,1226,8,5,62.5,3,37.5,815,4667,2630,36,38,1,5,7,993,24
ESP-La Liga,2425,Barcelona,Gavi,ESP,"MF,FW",19,2004,12.1,943,10,107,601,240,34,943,18,9,50.0,5,27.8,557,2274,1128,13,16,1,19,9,712,42
ESP-La Liga,2425,Barcelona,Gerard Martín,ESP,DF,22,2002,11.5,909,29,203,384,326,19,909,11,4,36.4,7,63.6,413,1438,720,10,12,1,7,4,586,122
ESP-La Liga,2425,Barcelona,Héctor Fort,ESP,DF,17,2006,6.5,573,18,111,300,166,17,573,9,2,22.2,7,77.8,308,1255,679,14,15,2,4,4,397,33
ESP-La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,25,1999,15.5,667,472,651,16,0,0,667,0,0,,0,,399,1757,991,0,0,0,0,0,362,0
ESP-La Liga,2425,Barcelona,Iñigo Martínez,ESP,DF,33,1991,27.7,2652,146,875,1629,156,26,2652,3,3,100.0,0,0.0,1711,10196,7336,70,53,0,11,3,2003,11
ESP-La Liga,2425,Barcelona,Jules Koundé,FRA,DF,25,1998,28.9,2453,79,567,1194,706,79,2453,50,22,44.0,27,54.0,1287,4667,2501,44,42,7,41,13,1625,190
ESP-La Liga,2425,Barcelona,Lamine Yamal,ESP,FW,17,2007,31.7,2094,9,104,667,1364,226,2094,316,161,50.9,128,40.5,1486,10141,5270,181,96,95,102,49,1723,433
ESP-La Liga,2425,Barcelona,Marc Bernal,ESP,MF,17,2007,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2
ESP-La Liga,2425,Barcelona,Marc Casado,ESP,MF,20,2003,17.9,1536,25,223,1040,276,9,1536,9,4,44.4,4,44.4,870,3523,1540,12,22,0,17,9,1172,24
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,32,1992,7.5,262,186,260,2,0,0,262,0,0,,0,,158,755,562,0,0,0,0,0,154,0
ESP-La Liga,2425,Barcelona,Pablo Torre,ESP,"MF,FW",21,2003,3.4,254,5,27,120,109,10,254,6,2,33.3,3,50.0,130,503,205,5,7,0,5,6,190,20
ESP-La Liga,2425,Barcelona,Pau Cubarsí,ESP,DF,17,2007,29.1,2805,194,1045,1672,93,17,2805,8,6,75.0,2,25.0,1823,8964,4999,26,16,0,7,1,2193,6
ESP-La Liga,2425,Barcelona,Pau Victor,ESP,FW,22,2001,3.5,170,5,15,71,87,21,170,12,7,58.3,5,41.7,92,375,171,6,2,6,7,8,125,28
ESP-La Liga,2425,Barcelona,Pedri,ESP,MF,21,2002,32.0,3060,37,279,1824,988,50,3060,61,40,65.6,20,32.8,2012,11238,5463,92,103,8,48,35,2389,136
ESP-La Liga,2425,Barcelona,Raphinha,BRA,"FW,MF",27,1996,31.5,1863,31,114,661,1113,183,1861,103,52,50.5,44,42.7,1016,5592,2865,94,66,46,53,29,1316,349
ESP-La Liga,2425,Barcelona,Robert Lewandowski,POL,FW,35,1988,29.6,841,32,59,314,475,179,837,35,20,57.1,13,37.1,472,1785,589,27,11,16,75,45,667,164
ESP-La Liga,2425,Barcelona,Ronald Araújo,URU,DF,25,1999,8.4,798,33,227,542,32,9,798,1,0,0.0,1,100.0,515,2800,1731,6,4,0,2,1,596,3
ESP-La Liga,2425,Barcelona,Sergi Dominguez,ESP,DF,19,2005,1.9,191,13,69,121,3,0,191,0,0,,0,,127,569,284,0,1,0,0,0,157,1
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,34,1990,15.0,492,370,482,10,0,0,492,1,1,100.0,0,0.0,286,1121,509,0,0,0,0,0,274,0
ESP-La Liga,2425,Betis,Abde Ezzalzouli,MAR,"FW,MF",22,2001,22.0,1081,10,120,407,585,151,1080,103,46,44.7,37,35.9,706,5210,3025,117,75,58,64,50,797,215
ESP-La Liga,2425,Betis,Adrián,ESP,GK,37,1987,19.0,658,568,657,1,0,0,658,0,0,,0,,390,1788,1161,0,0,0,1,0,299,0
ESP-La Liga,2425,Betis,Aitor Ruibal,ESP,"DF,FW",28,1996,14.6,790,45,231,321,248,33,790,27,14,51.9,13,48.1,398,1795,938,21,25,7,27,16,459,64
ESP-La Liga,2425,Betis,Antony,BRA,FW,24,2000,15.1,982,9,100,315,585,63,982,63,24,38.1,33,52.4,663,4570,2729,94,77,30,53,20,751,157
ESP-La Liga,2425,Betis,Assane Diao,SEN,FW,18,2005,3.1,122,4,12,42,68,19,122,11,2,18.2,9,81.8,63,372,145,9,3,3,15,2,81,27
ESP-La Liga,2425,Betis,Carlos Guirao,ESP,MF,21,2003,1.2,60,3,14,38,10,1,60,1,1,100.0,0,0.0,28,134,60,1,1,0,1,2,34,2
ESP-La Liga,2425,Betis,Cucho,COL,FW,25,1999,12.7,467,5,23,210,237,61,467,26,17,65.4,9,34.6,250,1318,507,27,9,14,46,14,318,82
ESP-La Liga,2425,Betis,Cédric Bakambu,COD,FW,33,1991,7.9,226,6,16,97,115,33,226,7,1,14.3,5,71.4,113,505,274,9,4,7,28,11,157,43
ESP-La Liga,2425,Betis,Diego Llorente,ESP,DF,30,1993,28.0,1915,235,1048,825,48,22,1915,9,6,66.7,2,22.2,1127,5465,3118,7,8,1,11,4,1243,3
ESP-La Liga,2425,Betis,Ezequiel Ávila,ARG,FW,30,1994,7.5,323,7,34,131,163,34,323,11,5,45.5,5,45.5,173,767,334,12,7,4,23,7,216,48
ESP-La Liga,2425,Betis,Fran Vieites,ESP,GK,25,1999,4.0,126,97,124,1,1,1,126,0,0,,0,,59,248,139,0,0,0,0,0,48,0
ESP-La Liga,2425,Betis,Giovani Lo Celso,ARG,"MF,FW",28,1996,16.2,1167,7,114,558,506,53,1164,55,21,38.2,27,49.1,702,3247,1450,26,31,9,38,31,832,66
ESP-La Liga,2425,Betis,Héctor Bellerín,ESP,DF,29,1995,6.4,384,25,122,190,73,11,384,8,6,75.0,2,25.0,212,729,344,3,4,0,6,1,242,22
ESP-La Liga,2425,Betis,Iker Losada,ESP,"MF,FW",22,2001,3.7,180,1,30,73,80,6,180,6,2,33.3,4,66.7,101,569,294,9,6,1,6,5,130,16
ESP-La Liga,2425,Betis,Isco,ESP,MF,32,1992,17.2,1381,9,96,663,638,68,1375,59,27,45.8,28,47.5,893,4677,2047,38,54,5,54,27,1059,112
ESP-La Liga,2425,Betis,Jesus Rodríguez,ESP,FW,18,2005,12.3,532,5,47,212,284,69,532,84,30,35.7,46,54.8,361,2868,1506,53,36,39,38,20,381,99
ESP-La Liga,2425,Betis,Johnny Cardoso,USA,MF,22,2001,23.8,1427,91,397,846,201,26,1427,42,26,61.9,15,35.7,752,3374,1557,19,16,1,36,23,890,28
ESP-La Liga,2425,Betis,Juanmi,ESP,"FW,MF",31,1993,2.7,109,3,23,46,41,14,109,8,4,50.0,3,37.5,62,307,101,4,1,2,7,4,74,18
ESP-La Liga,2425,Betis,Marc Bartra,ESP,DF,33,1991,23.3,1483,219,862,561,70,18,1483,15,7,46.7,8,53.3,804,3902,2534,7,15,1,12,5,903,1
ESP-La Liga,2425,Betis,Marc Roca,ESP,MF,27,1996,10.1,632,27,154,374,108,19,632,5,4,80.0,1,20.0,385,2069,1037,11,14,0,9,7,427,13
ESP-La Liga,2425,Betis,Mateo Flores,ESP,MF,20,2004,1.7,84,4,27,47,11,1,84,0,0,,0,,47,189,55,0,0,0,3,3,50,2
ESP-La Liga,2425,Betis,Nabil Fekir,FRA,MF,31,1993,2.0,108,0,3,52,53,6,108,5,0,0.0,4,80.0,72,479,259,9,4,2,4,6,85,18
ESP-La Liga,2425,Betis,Natan,BRA,DF,23,2001,24.2,1514,197,813,671,42,19,1514,3,2,66.7,0,0.0,929,4788,2750,12,5,0,15,8,994,6
ESP-La Liga,2425,Betis,Nobel Mendy,FRA,DF,19,2004,1.2,71,18,43,28,0,0,71,0,0,,0,,35,131,68,0,0,0,1,0,38,0
ESP-La Liga,2425,Betis,Pablo Fornals,ESP,"MF,FW",28,1996,20.3,1272,20,171,684,428,36,1272,28,8,28.6,20,71.4,777,3245,1523,32,34,7,24,16,911,85
ESP-La Liga,2425,Betis,Pablo Garcia,ESP,FW,17,2006,0.4,23,0,3,7,14,2,23,2,1,50.0,1,50.0,16,120,59,2,0,1,3,1,15,8
ESP-La Liga,2425,Betis,Ricardo Rodríguez,SUI,DF,31,1992,14.2,866,39,253,437,181,7,866,7,4,57.1,3,42.9,434,2005,1105,19,23,1,4,3,498,32
ESP-La Liga,2425,Betis,Rodri,ESP,FW,24,2000,1.3,86,3,22,32,33,6,86,6,2,33.3,4,66.7,57,401,183,4,3,3,5,2,63,11
ESP-La Liga,2425,Betis,Romain Perraud,FRA,DF,26,1997,22.2,1419,62,442,565,423,28,1419,35,11,31.4,18,51.4,766,3846,1881,51,25,10,33,14,842,106
ESP-La Liga,2425,Betis,Rui Silva,POR,GK,30,1994,15.0,553,412,552,1,0,0,553,0,0,,0,,334,1482,710,0,0,0,1,0,277,0
ESP-La Liga,2425,Betis,Sergi Altimira,ESP,MF,22,2001,21.9,1521,53,321,940,272,18,1521,24,16,66.7,7,29.2,908,3871,1635,25,14,1,27,21,1064,30
ESP-La Liga,2425,Betis,Sergio Arribas,ESP,DF,21,2003,1.0,71,5,24,43,4,0,71,0,0,,0,,33,128,75,0,0,0,0,0,35,4
ESP-La Liga,2425,Betis,Vitor Roque,BRA,FW,19,2005,13.7,365,3,27,167,179,57,365,39,10,25.6,25,64.1,213,1250,554,24,14,16,41,35,239,57
ESP-La Liga,2425,Betis,William Carvalho,POR,MF,32,1992,5.4,432,11,94,255,87,6,432,5,3,60.0,1,20.0,294,1213,592,5,9,0,6,6,342,10
ESP-La Liga,2425,Betis,Youssouf Sabaly,SEN,DF,31,1993,17.6,1170,43,351,591,236,26,1170,20,8,40.0,10,50.0,620,2245,1145,25,12,4,27,12,680,63
ESP-La Liga,2425,Betis,Ángel Ortíz,ESP,DF,20,2004,3.9,272,7,96,114,64,7,272,8,4,50.0,4,50.0,133,669,375,4,3,1,7,2,153,20
ESP-La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",25,1999,15.2,551,2,44,139,374,114,551,63,25,39.7,31,49.2,374,2856,1693,89,39,47,29,20,428,170
ESP-La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,24,1999,7.8,192,12,18,84,94,32,192,13,4,30.8,7,53.8,120,585,150,6,7,4,23,19,149,43
ESP-La Liga,2425,Celta Vigo,Borja Iglesias,ESP,FW,31,1993,21.7,685,16,48,362,284,83,685,32,11,34.4,18,56.3,396,1588,536,22,13,13,62,32,514,108
ESP-La Liga,2425,Celta Vigo,Carl Starfelt,SWE,DF,29,1995,25.2,1901,265,963,915,29,11,1901,1,1,100.0,0,0.0,1104,4606,2548,11,5,1,9,0,1337,1
ESP-La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,23,2001,13.1,1116,109,488,609,25,7,1116,3,2,66.7,1,33.3,683,3304,1981,15,12,0,5,0,802,4
ESP-La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,21,2003,10.3,876,15,127,589,162,4,876,2,0,0.0,2,100.0,529,2383,1230,8,8,0,4,6,680,12
ESP-La Liga,2425,Celta Vigo,Fer López,,"FW,MF",,,7.5,365,6,37,162,174,32,365,34,18,52.9,13,38.2,264,1696,867,27,20,7,33,20,298,58
ESP-La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,25,1999,26.9,1711,58,385,1088,246,14,1711,19,10,52.6,8,42.1,951,4555,2137,28,29,2,23,22,1209,29
ESP-La Liga,2425,Celta Vigo,Franco Cervi,ARG,"FW,MF",30,1994,3.0,160,4,37,78,45,1,160,2,1,50.0,1,50.0,82,404,173,3,2,0,3,2,95,21
ESP-La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,20,2003,13.9,1097,17,177,706,226,10,1097,20,8,40.0,9,45.0,656,3170,1326,21,18,2,11,12,860,38
ESP-La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21,2003,17.5,1214,26,262,471,489,82,1214,72,32,44.4,38,52.8,726,3910,2266,74,38,41,33,12,817,171
