,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",26,1997,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40.0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28,1996,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0.0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,26,1997,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,1997,23.0,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50.0
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002,34.6,10,0,0,50,51,2,27,6,22,1,0,0,119,13,52,20.0
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28,1995,28.9,2,0,0,29,33,16,7,8,7,2,0,0,43,52,71,42.3
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27,1997,22.4,2,0,0,8,7,0,3,10,15,0,0,0,62,18,29,38.3
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,30,1993,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60.0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31,1993,12.4,1,0,0,4,11,0,1,7,6,0,0,0,38,27,22,55.1
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27,1997,33.6,4,0,0,41,56,0,119,23,58,0,0,0,145,22,18,55.0
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33,1991,17.7,7,0,0,19,12,0,33,15,12,0,0,0,50,14,15,48.3
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,20,2003,8.4,3,0,0,17,26,0,7,10,14,0,0,0,52,7,7,50.0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,24,2000,35.6,9,0,0,73,37,15,59,11,35,1,0,0,158,66,76,46.5
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,"MF,FW",19,2004,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,22,2002,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,CAN,FW,20,2003,1.3,1,0,0,2,4,0,3,1,3,0,0,0,10,2,10,16.7
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27,1997,10.7,3,0,0,11,18,0,52,5,6,0,0,0,50,7,10,41.2
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19,2005,27.0,10,0,0,31,10,2,12,51,26,0,0,0,105,68,44,60.7
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27,1997,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24,1999,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,34.5,4,1,0,20,7,0,6,41,36,0,0,0,157,77,44,63.6
ENG-Premier League,2425,Bournemouth,James Hill,ENG,DF,22,2002,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,22,2001,5.5,2,0,0,7,2,1,9,6,5,0,0,0,29,3,9,25.0
ENG-Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",19,2005,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,MF,25,1999,26.0,8,0,0,47,33,5,85,14,11,1,0,0,78,8,28,22.2
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27,1997,12.3,5,0,0,22,8,0,11,14,21,0,0,0,71,32,29,52.5
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,1999,21.5,6,0,0,34,28,4,108,5,24,0,0,0,119,26,33,44.1
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25,1999,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,20,2003,37.1,4,0,0,30,50,3,142,45,26,0,0,0,169,28,49,36.4
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,18,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25,1999,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,34,1989,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,24,1999,37.9,3,0,0,25,44,11,202,14,31,0,0,0,156,34,74,31.5
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30,1994,31.3,8,1,0,44,28,1,17,49,49,0,0,0,193,49,30,62.0
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",23,2001,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",21,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,1998,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",18,2005,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,22,2001,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,34.4,7,0,0,18,31,4,78,21,27,1,0,0,146,27,35,43.5
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,22,2001,25.5,3,0,0,21,38,13,38,5,25,1,0,0,83,90,80,52.9
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,1998,16.0,5,0,0,13,6,2,14,12,18,0,0,0,42,27,23,54.0
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,36.4,1,0,0,0,3,0,0,0,4,0,0,0,39,4,0,100.0
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,1996,9.6,2,0,0,7,10,0,33,8,10,0,0,0,48,8,5,61.5
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004,5.9,2,0,0,8,3,0,10,7,11,0,0,0,34,9,4,69.2
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,2001,38.0,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9
ENG-Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997,1.1,0,0,0,2,2,0,2,1,2,0,0,0,7,2,1,66.7
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,2001,28.7,3,0,0,23,5,1,7,21,24,1,0,0,97,94,77,55.0
ENG-Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001,1.9,0,0,0,3,3,1,2,2,3,0,0,0,12,7,5,58.3
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,1998,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,16.1,6,0,0,19,13,2,16,13,28,0,0,0,113,8,10,44.4
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,27,1996,32.4,5,0,0,34,51,14,20,8,12,1,0,0,81,30,36,45.5
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",18,2006,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29,1995,9.9,1,0,0,7,2,1,2,20,6,0,1,0,35,24,6,80.0
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36.0,5,0,0,0,2,0,0,0,0,0,0,0,59,10,1,90.9
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004,7.6,0,0,0,7,12,1,29,2,8,0,0,0,26,3,5,37.5
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20,2004,29.6,8,1,1,40,48,0,9,46,46,0,2,0,197,39,26,60.0
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,33,1990,23.5,5,0,0,11,23,4,3,5,16,0,0,0,46,17,32,34.7
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,21,2003,5.7,0,0,0,8,3,1,12,8,13,1,0,0,32,10,4,71.4
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,22,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,19,2004,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2
ENG-Premier League,2425,Brighton,Harry Howell,ENG,FW,15,2008,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26,1998,10.7,4,0,0,9,6,0,4,4,5,0,0,0,42,8,6,57.1
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,20.5,5,0,0,18,9,0,27,16,19,0,0,0,63,20,16,55.6
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25,1999,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38,1986,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000,32.9,8,1,1,25,24,0,11,24,29,0,0,0,131,82,50,62.1
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22,2001,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32,1992,18.9,5,0,0,27,44,0,24,19,29,0,1,0,68,21,18,53.8
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,28.9,1,0,0,40,24,5,75,14,27,0,0,0,99,26,27,49.1
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32,1991,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2
