,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Newcastle Utd,Joelinton,BRA,"MF,FW",27,1996,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2
ENG-Premier League,2425,Newcastle Utd,Kieran Trippier,ENG,DF,33,1990,14.5,1,0,0,16,11,2,82,12,21,0,0,0,68,22,15,59.5
ENG-Premier League,2425,Newcastle Utd,Lewis Hall,ENG,DF,19,2004,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2
ENG-Premier League,2425,Newcastle Utd,Lewis Miley,ENG,MF,18,2006,3.5,0,0,0,3,1,0,0,2,11,0,0,0,16,6,7,46.2
ENG-Premier League,2425,Newcastle Utd,Lloyd Kelly,ENG,DF,25,1998,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,35,1989,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0
ENG-Premier League,2425,Newcastle Utd,Matt Targett,ENG,DF,28,1995,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
ENG-Premier League,2425,Newcastle Utd,Miguel Almirón,PAR,FW,30,1994,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,32,1992,28.0,2,0,0,2,5,0,0,1,0,0,2,0,24,11,1,91.7
ENG-Premier League,2425,Newcastle Utd,Sandro Tonali,ITA,MF,24,2000,29.2,5,0,0,37,49,2,54,34,32,1,0,0,177,12,12,50.0
ENG-Premier League,2425,Newcastle Utd,Sean Longstaff,ENG,MF,26,1997,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50.0
ENG-Premier League,2425,Newcastle Utd,Sven Botman,NED,DF,24,2000,4.6,1,0,0,5,4,0,0,5,9,0,0,0,14,17,9,65.4
ENG-Premier League,2425,Newcastle Utd,Valentino Livramento,ENG,DF,21,2002,31.6,1,0,0,6,35,2,52,23,36,0,0,0,189,27,35,43.5
ENG-Premier League,2425,Newcastle Utd,William Osula,DEN,FW,20,2003,1.5,0,0,0,4,1,1,4,4,0,0,0,0,2,6,2,75.0
ENG-Premier League,2425,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22,2002,27.8,1,0,0,9,47,18,185,6,14,0,0,0,89,24,37,39.3
ENG-Premier League,2425,Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",23,2000,24.4,2,0,0,12,25,8,79,13,14,1,0,0,92,3,10,23.1
ENG-Premier League,2425,Nott'ham Forest,Chris Wood,NZL,FW,32,1991,32.9,1,0,0,25,24,28,1,5,5,0,0,0,50,94,143,39.7
ENG-Premier League,2425,Nott'ham Forest,Danilo,BRA,"MF,FW",23,2001,3.1,0,0,0,2,0,0,3,4,4,0,0,0,19,1,2,33.3
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,MF,21,2002,30.3,10,0,0,49,58,4,86,31,56,0,0,0,207,56,30,65.1
ENG-Premier League,2425,Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",18,2006,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,
ENG-Premier League,2425,Nott'ham Forest,Harry Toffolo,ENG,DF,28,1995,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0
ENG-Premier League,2425,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,26,1997,6.6,3,0,0,15,8,0,2,6,14,0,0,0,42,10,10,50.0
ENG-Premier League,2425,Nott'ham Forest,James Ward-Prowse,ENG,MF,29,1994,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5
ENG-Premier League,2425,Nott'ham Forest,Jota Silva,POR,"FW,MF",24,1999,9.5,5,0,0,24,23,8,21,12,14,1,0,0,43,21,30,41.2
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32,1992,38.0,4,0,0,1,10,0,0,0,1,0,1,0,17,15,2,88.2
ENG-Premier League,2425,Nott'ham Forest,Morato,BRA,DF,23,2001,10.1,5,0,0,11,2,0,0,10,14,0,0,0,36,6,14,30.0
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24,2000,31.1,11,1,1,38,40,7,45,23,22,1,0,0,127,40,55,42.1
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,DF,22,2002,35.4,6,0,0,27,6,0,14,36,36,0,1,0,142,44,22,66.7
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,DF,23,2001,28.8,7,0,0,24,43,2,59,31,57,0,0,0,110,40,30,57.1
ENG-Premier League,2425,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26,1998,21.8,9,0,0,33,18,1,7,29,45,0,0,0,114,27,23,54.0
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,DF,26,1997,37.0,4,0,0,20,5,2,0,27,29,0,0,0,85,101,39,72.1
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,DF,27,1996,33.3,5,0,0,23,35,2,59,33,42,0,1,0,190,13,19,40.6
ENG-Premier League,2425,Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",24,1999,3.3,1,0,0,6,8,3,8,4,3,0,0,0,25,4,7,36.4
ENG-Premier League,2425,Nott'ham Forest,Ryan Yates,ENG,MF,26,1997,21.3,10,0,0,53,49,7,8,26,21,0,0,0,104,45,30,60.0
ENG-Premier League,2425,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,26,1997,4.6,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5
ENG-Premier League,2425,Nott'ham Forest,Willy Boly,CIV,DF,33,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0
ENG-Premier League,2425,Nott'ham Forest,Álex Moreno,ESP,"DF,MF",31,1993,10.6,2,0,0,12,6,0,19,15,18,0,0,0,50,3,11,21.4
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26,1998,30.0,2,0,0,1,4,0,0,2,0,0,0,0,23,6,0,100.0
ENG-Premier League,2425,Southampton,Adam Armstrong,ENG,"FW,MF",27,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7
ENG-Premier League,2425,Southampton,Adam Lallana,ENG,MF,36,1988,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0
ENG-Premier League,2425,Southampton,Albert Grønbaek,DEN,"FW,MF",23,2001,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,34,1989,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0
ENG-Premier League,2425,Southampton,Armel Bella Kotchap,GER,DF,22,2001,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5
ENG-Premier League,2425,Southampton,Ben Brereton,CHI,FW,25,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,FW,23,2001,16.0,0,0,0,16,13,8,3,2,8,0,0,0,35,9,30,23.1
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,21,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,DF,30,1993,4.0,1,0,0,2,3,0,9,5,5,0,0,0,10,6,2,75.0
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,25,1999,23.9,12,0,0,50,39,0,4,32,25,0,0,0,83,17,17,50.0
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,DF,30,1994,15.4,2,2,0,13,4,1,1,13,20,0,1,0,44,6,10,37.5
ENG-Premier League,2425,Southampton,James Bree,ENG,DF,26,1997,11.9,0,0,0,4,5,0,29,9,14,0,0,0,65,12,7,63.2
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28,1996,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7
ENG-Premier League,2425,Southampton,Jay Robinson,ENG,"MF,FW",17,2007,1.5,0,0,0,3,1,0,1,0,1,0,0,0,12,0,1,0.0
ENG-Premier League,2425,Southampton,Joachim Kayi Sanda,FRA,DF,17,2006,0.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,"MF,DF",28,1996,22.4,1,0,0,20,28,1,10,20,33,0,1,0,112,25,24,51.0
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29,1995,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22,2002,15.6,2,0,0,22,11,3,26,6,17,0,0,0,63,13,27,32.5
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27,1997,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20,2004,18.4,7,0,0,31,16,0,6,14,24,0,1,0,67,20,18,52.6
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20,2004,32.3,8,0,0,46,55,4,113,28,48,0,0,0,179,15,9,62.5
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,27,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22,2002,8.6,2,0,0,9,4,0,3,5,8,0,0,0,20,15,8,65.2
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30,1994,11.7,4,0,0,28,16,10,0,1,2,0,0,0,19,93,59,61.2
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,FW,28,1996,4.3,1,0,0,7,7,1,0,1,4,0,0,0,6,13,23,36.1
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",30,1994,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,"DF,MF",28,1996,16.2,2,0,0,19,32,0,84,17,17,0,0,0,65,15,6,71.4
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",21,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22,2002,31.4,9,0,0,35,14,0,10,30,20,0,0,0,123,63,49,56.3
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",18,2006,20.8,6,0,0,30,50,2,28,8,20,2,0,0,80,10,25,28.6
ENG-Premier League,2425,Southampton,Welington,BRA,DF,23,2001,5.4,1,0,0,6,8,1,17,7,9,0,1,0,21,5,4,55.6
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,24,2000,7.7,1,0,0,11,3,0,36,2,13,0,1,0,23,4,6,40.0
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,"DF,MF",24,2000,17.3,4,0,0,15,10,4,70,11,18,0,2,0,44,5,9,35.7
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
ENG-Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,21,2003,6.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",18,2006,19.5,1,0,0,17,11,0,17,19,8,0,0,1,69,11,11,50.0
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31,1993,14.8,5,0,0,17,7,0,4,12,11,0,0,0,41,52,44,54.2
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,25,1999,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23,2001,24.2,5,0,0,27,26,12,53,4,26,2,0,0,63,7,20,25.9
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26,1998,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3
ENG-Premier League,2425,Tottenham,Dane Scarlett,ENG,"FW,MF",20,2004,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24,2000,26.5,3,0,0,48,38,5,89,13,23,0,0,0,121,10,15,40.0
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,21,2002,21.4,2,0,0,29,38,3,19,22,47,0,0,1,111,13,13,50.0
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,23,2000,19.9,4,1,1,21,23,2,25,21,34,0,0,1,109,21,14,60.0
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,26,1997,24.5,0,0,0,36,36,5,4,1,11,0,0,1,38,46,60,43.4
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36,1988,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,27,1996,24.0,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100.0
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,27,1996,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7
ENG-Premier League,2425,Tottenham,Kevin Danso,AUT,DF,25,1998,9.4,0,0,0,9,13,0,1,6,5,0,0,0,27,21,12,63.6
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18,2006,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9
ENG-Premier League,2425,Tottenham,Mathys Tel,FRA,FW,19,2005,10.1,2,0,0,14,16,1,35,2,6,1,0,0,38,4,7,36.4
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23,2001,11.3,4,0,0,10,9,0,0,10,6,0,0,0,63,19,20,48.7
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,16,2007,4.1,0,0,0,3,7,3,16,1,1,0,0,0,11,1,6,14.3
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,21,2002,21.3,6,0,0,34,35,2,14,30,36,0,1,0,115,34,45,43.0
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,24,1999,29.0,5,0,0,25,33,1,196,36,49,0,0,0,152,12,23,34.3
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27,1997,5.6,2,0,0,7,13,3,7,0,3,0,0,0,11,10,23,30.3
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27,1997,18.3,9,0,0,34,10,1,4,40,22,0,0,0,121,36,30,54.5
ENG-Premier League,2425,Tottenham,Sergio Reguilón,ESP,DF,27,1996,2.2,2,0,0,2,6,0,12,4,3,0,0,0,14,5,2,71.4
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32,1992,23.4,1,0,0,6,28,12,78,5,9,1,0,0,85,6,12,33.3
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",28,1996,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,"FW,MF",19,2005,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,"FW,MF",19,2004,9.4,0,0,0,2,3,1,25,4,5,0,0,0,34,4,8,33.3
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,27,1996,15.6,7,0,0,28,18,0,2,18,31,0,2,0,85,7,7,50.0
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,34,1989,9.2,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50.0
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,26,1997,35.0,1,0,0,25,27,5,76,66,49,0,0,1,174,22,33,40.0
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31,1993,25.1,0,0,0,0,0,0,0,0,2,0,0,1,29,2,0,100.0
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24,2000,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,"MF,FW",27,1997,15.7,6,0,0,26,19,0,34,8,11,0,0,0,64,10,12,45.5
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",22,2001,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8
ENG-Premier League,2425,West Ham,Danny Ings,ENG,"FW,MF",32,1992,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,26,1997,19.7,9,1,1,42,18,4,6,18,27,0,0,0,88,30,23,56.6
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,29,1994,23.5,5,0,0,25,13,0,64,21,31,0,0,0,84,18,20,47.4
ENG-Premier League,2425,West Ham,Evan Ferguson,IRL,FW,19,2004,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30,1994,12.8,6,0,0,18,12,2,5,13,19,0,0,0,53,11,7,61.1
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,29,1994,11.5,2,0,0,10,4,0,49,8,14,0,0,0,52,10,5,66.7
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",27,1996,33.0,1,0,0,20,51,10,106,16,26,0,0,0,129,12,48,20.0
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24,1999,20.3,3,0,0,16,6,0,3,26,28,0,0,0,79,28,26,51.9
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,26,1997,22.7,6,1,1,17,16,3,2,40,24,0,0,0,77,57,25,69.5
ENG-Premier League,2425,West Ham,Lewis Orford,ENG,MF,18,2006,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",26,1997,26.4,10,0,0,53,62,6,29,18,37,0,1,0,149,48,57,45.7
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,"MF,FW",18,2006,1.7,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27,1997,37.2,5,0,0,23,13,2,4,38,24,0,0,0,146,113,55,67.3
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,34,1990,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"FW,MF",23,2000,28.8,2,1,0,39,64,18,81,4,23,0,0,0,138,11,40,21.6
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,31,1993,8.8,2,0,0,21,6,10,1,1,3,0,0,0,18,39,52,42.9
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,"DF,FW",18,2005,7.4,1,0,0,5,3,1,15,11,11,0,0,0,34,6,6,50.0
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29,1995,28.5,8,0,0,47,25,4,14,20,21,1,0,0,63,99,73,57.6
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,31,1992,11.9,5,0,0,22,16,0,28,8,15,0,0,1,39,23,16,59.0
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39,1985,12.9,2,0,0,2,1,0,0,0,0,0,2,0,5,3,1,75.0
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Wolves,André,BRA,MF,23,2001,27.5,7,0,0,36,34,0,0,37,55,0,1,0,194,2,6,25.0
ENG-Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20,2004,2.7,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",28,1995,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0
ENG-Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27,1997,15.7,3,0,0,7,4,1,2,12,19,0,0,0,83,26,20,56.5
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",27,1996,11.1,1,0,0,15,17,3,22,5,5,0,0,0,36,5,13,27.8
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28,1996,7.3,0,0,0,6,9,0,8,2,4,0,0,0,28,3,9,25.0
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26,1998,18.6,3,0,0,31,47,1,44,10,24,0,0,0,62,10,19,34.5
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29.0,2,0,0,4,9,0,0,0,2,0,4,0,37,11,1,91.7
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23,2001,33.0,11,1,1,70,47,1,29,25,71,0,0,0,200,11,26,29.7
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24,2000,28.7,4,0,0,46,19,16,6,6,6,0,0,0,42,67,100,40.1
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",30,1993,15.2,4,0,0,17,8,4,10,27,31,0,1,0,73,25,16,61.0
ENG-Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996,12.0,0,0,0,19,10,3,10,6,10,0,0,0,35,29,23,55.8
ENG-Premier League,2425,Wolves,Mateus Mane,,MF,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999,28.9,4,0,0,42,71,8,142,17,22,0,1,0,125,13,29,31.0
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32,1992,23.4,6,0,0,18,11,2,22,22,21,0,0,1,106,56,21,72.7
ENG-Premier League,2425,Wolves,Nasser Djiga,BFA,DF,21,2002,0.7,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,50.0
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,30,1993,32.1,8,0,0,48,30,4,63,23,36,0,1,0,139,28,42,40.0
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32,1992,9.0,3,0,0,16,15,5,47,4,8,0,0,0,34,5,14,26.3
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,DF,18,2006,0.8,0,0,0,1,1,1,5,2,0,0,0,0,3,0,3,0.0
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001,34.5,7,1,1,30,46,6,94,26,57,0,0,0,145,22,30,42.3
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21,2003,9.0,0,0,0,4,6,0,23,7,15,0,0,0,28,8,17,32.0
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,25,1998,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,22,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25,1999,29.0,7,0,0,24,15,4,13,25,43,0,1,0,116,53,26,67.1
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23,2001,4.9,2,0,0,6,7,1,2,10,7,0,0,0,24,11,6,64.7
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,25,1999,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3
ESP-La Liga,2425,Alavés,Abderrahman Rebbach,ALG,"FW,MF",25,1998,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,32,1991,6.6,1,1,0,9,5,0,0,10,10,0,0,0,18,9,6,60.0
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997,21.6,3,0,0,39,18,0,5,14,30,0,0,0,120,30,39,43.5
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000,30.3,11,1,1,66,27,0,29,42,40,0,0,0,164,28,35,44.4
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,6,1,0,4,5,0,0,0,1,0,3,1,21,5,1,83.3
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,26,1997,3.7,2,0,0,11,7,2,2,1,2,0,0,0,7,22,12,64.7
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,"MF,FW",26,1998,12.1,1,0,0,11,24,0,31,2,12,0,0,0,47,9,6,60.0
ESP-La Liga,2425,Alavés,Carlos Benavídez,URU,MF,26,1998,5.4,3,0,0,18,6,1,1,8,14,0,0,0,32,8,7,53.3
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"FW,MF",22,2002,14.8,3,0,0,32,28,6,24,5,21,0,0,0,55,15,19,44.1
ESP-La Liga,2425,Alavés,Carlos Vicente,ESP,"FW,MF",25,1999,34.4,3,0,0,38,62,10,269,14,31,0,0,0,133,34,60,36.2
ESP-La Liga,2425,Alavés,Facundo Garcés,MAS,DF,24,1999,7.5,2,0,0,7,2,0,1,5,2,0,1,0,14,13,14,48.1
